Frame	Rg	I(sum)
238	nan	0.030951
239	nan	-0.0179428
240	nan	0.000855518
241	nan	0.00320075
242	nan	-0.0208969
243	nan	-0.0509947
244	nan	0.017897
245	nan	-0.0246811
246	nan	-0.0254267
247	nan	0.0316695
248	nan	0.00181657
249	nan	-0.0370048
250	nan	-0.00609501
251	nan	-0.0529187
252	nan	-0.0278588
253	nan	-0.0103566
254	nan	0.0331771
255	nan	-0.0141855
256	nan	-0.0484016
257	nan	-0.0274414
258	nan	-0.0425548
259	nan	0.00301002
260	nan	-0.0574298
261	nan	-0.0454517
262	nan	-0.0252827
263	nan	-0.0436847
264	nan	-0.0297373
265	nan	-0.0339342
266	nan	-0.0369704
267	nan	-0.0509133
268	nan	-0.00479775
269	nan	-0.0133848
270	nan	0.00734542
271	nan	0.00746523
272	nan	-0.0269309
273	nan	-0.0422138
274	nan	-0.0501126
275	nan	-0.00464648
276	nan	-0.0330357
277	nan	-0.0263527
278	nan	-0.0128712
279	nan	-0.0185865
280	nan	-0.017044
281	nan	-0.0350807
282	nan	-0.00913892
283	nan	-0.065251
284	nan	-0.0600494
285	nan	-0.0120783
286	nan	-0.0517149
287	nan	-0.00132594
288	nan	-0.0231019
289	nan	-0.0334606
290	nan	-0.0409289
291	nan	-0.0754525
292	nan	0.0196394
293	nan	-0.0383825
294	nan	-0.0783115
295	nan	-0.0156059
296	nan	-0.0128514
297	nan	-0.0605524
298	nan	-0.0168696
299	nan	-0.0194785
300	nan	-0.0209492
301	nan	-0.0198104
302	nan	-0.0588166
303	nan	-0.041372
304	nan	-0.042011
305	nan	-0.061513
306	nan	-0.0787189
307	nan	-0.0407632
308	nan	-0.0573112
309	nan	-0.00608793
310	nan	-0.0371308
311	nan	-0.0379146
312	nan	-0.03577
313	nan	-0.0182838
314	nan	-0.0434121
315	nan	-0.0155265
316	nan	-0.0341287
317	nan	-0.0118449
318	nan	-0.0280353
319	nan	-0.0315329
320	nan	-0.000393924
321	nan	0.0111615
322	nan	0.0205417
323	nan	0.0180908
324	nan	-0.0085586
325	nan	0.0213143
326	nan	0.0103811
327	nan	0.00890329
328	nan	0.0200146
329	nan	0.0647646
330	nan	0.0592844
331	nan	-0.00275269
332	nan	0.0749738
333	nan	0.0938207
334	nan	0.150471
335	nan	0.0853405
336	nan	0.147095
337	nan	0.126714
338	nan	0.141984
339	nan	0.174661
340	nan	0.172188
341	nan	0.177788
342	nan	0.173757
343	nan	0.202767
344	nan	0.214243
345	nan	0.253333
