Sample description: Diamond Light Source Ltd
Parent(s): sample_avg.dat
 4.000000e-003 -2.547336e-002  1.015145e-002
 3.444015e-002  6.826336e-002  5.630539e-004
 3.468174e-002  6.853045e-002  5.684355e-004
 3.492333e-002  6.930594e-002  5.700500e-004
 3.516492e-002  6.799897e-002  5.565515e-004
 3.540651e-002  6.831082e-002  5.601821e-004
 3.564810e-002  6.697985e-002  5.473664e-004
 3.588969e-002  6.675133e-002  5.533482e-004
 3.613127e-002  6.564048e-002  5.432655e-004
 3.637286e-002  6.675761e-002  5.447739e-004
 3.661445e-002  6.594703e-002  5.469394e-004
 3.685604e-002  6.648327e-002  5.421867e-004
 3.709763e-002  6.600030e-002  5.456845e-004
 3.733922e-002  6.517424e-002  5.395221e-004
 3.758081e-002  6.461312e-002  5.304621e-004
 3.782239e-002  6.531433e-002  5.330433e-004
 3.806398e-002  6.439815e-002  5.328691e-004
 3.830557e-002  6.334000e-002  5.192430e-004
 3.854716e-002  6.354430e-002  5.221970e-004
 3.878875e-002  6.348052e-002  5.260745e-004
 3.903034e-002  6.303370e-002  5.185052e-004
 3.927192e-002  6.262336e-002  5.154455e-004
 3.951351e-002  6.257355e-002  5.178733e-004
 3.975510e-002  6.166097e-002  5.255509e-004
 3.999669e-002  6.210079e-002  5.057700e-004
 4.023828e-002  6.185421e-002  5.094400e-004
 4.047987e-002  6.151933e-002  5.034079e-004
 4.072146e-002  6.129321e-002  5.094300e-004
 4.096304e-002  6.062882e-002  4.996715e-004
 4.120463e-002  6.040936e-002  5.022418e-004
 4.144622e-002  6.047385e-002  4.971970e-004
 4.168781e-002  5.960012e-002  4.980336e-004
 4.192940e-002  5.855712e-002  4.922718e-004
 4.217099e-002  5.929591e-002  4.929755e-004
 4.241258e-002  5.851915e-002  4.931724e-004
 4.265416e-002  5.822976e-002  4.857648e-004
 4.289575e-002  5.724342e-002  4.826800e-004
 4.313734e-002  5.753330e-002  4.830882e-004
 4.337893e-002  5.756833e-002  4.809706e-004
 4.362052e-002  5.661773e-002  4.777473e-004
 4.386211e-002  5.650694e-002  4.771300e-004
 4.410370e-002  5.621288e-002  4.757488e-004
 4.434528e-002  5.581833e-002  4.732212e-004
 4.458687e-002  5.603312e-002  4.774848e-004
 4.482846e-002  5.694588e-002  4.753697e-004
 4.507005e-002  5.558764e-002  4.869448e-004
 4.531164e-002  5.498233e-002  4.862703e-004
 4.555323e-002  5.384021e-002  4.973118e-004
 4.579482e-002  5.375652e-002  5.006409e-004
 4.603640e-002  5.403045e-002  4.990200e-004
 4.627799e-002  5.416903e-002  5.092803e-004
 4.651958e-002  5.311812e-002  5.045718e-004
 4.676117e-002  5.202064e-002  5.041088e-004
 4.700276e-002  5.158715e-002  5.017927e-004
 4.724435e-002  5.219236e-002  5.165012e-004
 4.748594e-002  5.237748e-002  5.099797e-004
 4.772752e-002  5.114982e-002  5.092503e-004
 4.796911e-002  5.170294e-002  5.139115e-004
 4.821070e-002  5.092867e-002  5.157821e-004
 4.845229e-002  4.937297e-002  5.081409e-004
 4.869388e-002  4.954239e-002  5.125167e-004
 4.893547e-002  5.064533e-002  5.211682e-004
 4.917705e-002  4.963264e-002  5.204561e-004
 4.941864e-002  4.894470e-002  5.092558e-004
 4.966023e-002  4.871494e-002  4.953176e-004
 4.990182e-002  4.771415e-002  4.851506e-004
 5.014341e-002  4.899670e-002  4.809839e-004
 5.038500e-002  4.817421e-002  4.766627e-004
 5.062659e-002  4.815745e-002  4.719291e-004
 5.086817e-002  4.765915e-002  4.668094e-004
 5.110976e-002  4.715658e-002  4.642661e-004
 5.135135e-002  4.714076e-002  4.560939e-004
 5.159294e-002  4.649155e-002  4.608433e-004
 5.183453e-002  4.604727e-002  4.511355e-004
 5.207612e-002  4.570500e-002  4.568427e-004
 5.231770e-002  4.548355e-002  4.423700e-004
 5.255929e-002  4.476167e-002  4.493588e-004
 5.280088e-002  4.457121e-002  4.364288e-004
 5.304247e-002  4.521133e-002  4.412170e-004
 5.328406e-002  4.446552e-002  4.386985e-004
 5.352565e-002  4.371827e-002  4.350200e-004
 5.376724e-002  4.487433e-002  4.367130e-004
 5.400883e-002  4.418330e-002  4.350891e-004
 5.425041e-002  4.327730e-002  4.325770e-004
 5.449200e-002  4.222618e-002  4.269579e-004
 5.473359e-002  4.145576e-002  4.220597e-004
 5.497518e-002  4.179297e-002  4.216258e-004
 5.521677e-002  4.148233e-002  4.199912e-004
 5.545836e-002  4.092509e-002  4.137409e-004
 5.569995e-002  4.209142e-002  4.176006e-004
 5.594153e-002  4.167588e-002  4.214648e-004
 5.618312e-002  4.054248e-002  4.115394e-004
 5.642471e-002  4.019791e-002  4.113315e-004
 5.666630e-002  4.055376e-002  4.110570e-004
 5.690789e-002  4.001206e-002  4.128112e-004
 5.714948e-002  3.869476e-002  4.044842e-004
 5.739106e-002  3.857955e-002  3.996209e-004
 5.763265e-002  3.870564e-002  4.039588e-004
 5.787424e-002  3.856315e-002  4.025085e-004
 5.811583e-002  3.849409e-002  3.979521e-004
 5.835742e-002  3.757079e-002  3.946012e-004
 5.859901e-002  3.760888e-002  3.991673e-004
 5.884060e-002  3.781252e-002  3.964430e-004
 5.908218e-002  3.668388e-002  3.901697e-004
