# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00253.dat
q(1/A)          Column          Error           
0.0040000000    0.8169244900    0.0210788520    
0.0042415885    0.8737402000    0.0205033300    
0.0044831771    0.6846864300    0.0168968260    
0.0047247656    0.5359537300    0.0144746670    
0.0049663541    0.4545117000    0.0125672770    
0.0052079426    0.3646150200    0.0115823780    
0.0054495312    0.2833400900    0.0094133440    
0.0056911197    0.2663132800    0.0086041914    
0.0059327082    0.2137733900    0.0077088656    
0.0061742967    0.1792176800    0.0067641355    
0.0064158853    0.1456105400    0.0060357509    
0.0066574738    0.1333601700    0.0054580682    
0.0068990623    0.1214558400    0.0052559081    
0.0071406509    0.1035874100    0.0047679969    
0.0073822394    0.0945389800    0.0044031193    
0.0076238279    0.0815071860    0.0039914241    
0.0078654164    0.0671881010    0.0036818852    
0.0081070050    0.0694367690    0.0035480531    
0.0083485935    0.0671117570    0.0033682425    
0.0085901820    0.0587774960    0.0031736865    
0.0088317705    0.0599481050    0.0031207737    
0.0090733591    0.0567738670    0.0030174970    
0.0093149476    0.0522718240    0.0027900635    
0.0095565361    0.0507825980    0.0027500319    
0.0097981247    0.0415493980    0.0024874974    
0.0100397130    0.0425322870    0.0024314090    
0.0102813020    0.0378194070    0.0023454601    
0.0105228900    0.0384220240    0.0022146087    
0.0107644790    0.0308828190    0.0020060547    
0.0110060670    0.0375284890    0.0021559553    
0.0112476560    0.0336039410    0.0020300883    
0.0114892440    0.0334777950    0.0019971178    
0.0117308330    0.0316277830    0.0019319743    
0.0119724210    0.0300686970    0.0018576503    
0.0122140100    0.0313300900    0.0018790539    
0.0124555980    0.0281993730    0.0017290145    
0.0126971870    0.0306539010    0.0018586657    
0.0129387760    0.0267340040    0.0016422568    
0.0131803640    0.0258529590    0.0016416645    
0.0134219530    0.0306434170    0.0017238269    
0.0136635410    0.0254099140    0.0015758560    
0.0139051300    0.0225757310    0.0014853741    
0.0141467180    0.0236186760    0.0014848934    
0.0143883070    0.0253815870    0.0015168399    
0.0146298950    0.0255628840    0.0015222476    
0.0148714840    0.0240991770    0.0014888521    
0.0151130720    0.0244790140    0.0014842583    
0.0153546610    0.0245186130    0.0014299545    
0.0155962490    0.0248487950    0.0014541657    
0.0158378380    0.0233131520    0.0013761319    
0.0160794260    0.0230694610    0.0013689206    
0.0163210150    0.0205124660    0.0012624550    
0.0165626030    0.0217100290    0.0013236838    
0.0168041920    0.0225470560    0.0012995907    
0.0170457800    0.0231994290    0.0013262231    
0.0172873690    0.0231463130    0.0013167478    
0.0175289580    0.0217620820    0.0012691904    
0.0177705460    0.0252334410    0.0013430405    
0.0180121350    0.0222934600    0.0012481941    
0.0182537230    0.0195503600    0.0011560370    
0.0184953120    0.0201919590    0.0011716563    
0.0187369000    0.0204639040    0.0011795198    
0.0189784890    0.0193445820    0.0011168600    
0.0192200770    0.0204942810    0.0011677700    
0.0194616660    0.0196487540    0.0011141786    
