# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00333.dat
q(1/A)          Column          Error           
0.0040000000    0.7944874300    0.0208212280    
0.0042415885    0.8833467800    0.0206493170    
0.0044831771    0.7224779100    0.0173851480    
0.0047247656    0.5510358300    0.0147008240    
0.0049663541    0.4357736900    0.0123255410    
0.0052079426    0.3436562600    0.0112628790    
0.0054495312    0.2660659800    0.0091367433    
0.0056911197    0.2585358100    0.0084914302    
0.0059327082    0.2094502600    0.0076429487    
0.0061742967    0.1703252600    0.0066049302    
0.0064158853    0.1503523800    0.0061432317    
0.0066574738    0.1317779600    0.0054344316    
0.0068990623    0.1099861100    0.0050097300    
0.0071406509    0.1074480300    0.0048639438    
0.0073822394    0.0909381100    0.0043254848    
0.0076238279    0.0805963430    0.0039755244    
0.0078654164    0.0765162360    0.0039355705    
0.0081070050    0.0716639300    0.0036103766    
0.0083485935    0.0669913710    0.0033707017    
0.0085901820    0.0606883510    0.0032301150    
0.0088317705    0.0614474850    0.0031647065    
0.0090733591    0.0522928420    0.0029006850    
0.0093149476    0.0515458020    0.0027751327    
0.0095565361    0.0502011290    0.0027386961    
0.0097981247    0.0431789470    0.0025399381    
0.0100397130    0.0433681970    0.0024591848    
0.0102813020    0.0430503860    0.0025064904    
0.0105228900    0.0402121280    0.0022693017    
0.0107644790    0.0363435250    0.0021797398    
0.0110060670    0.0354141620    0.0020977539    
0.0112476560    0.0393734340    0.0022010419    
0.0114892440    0.0369336870    0.0021010841    
0.0117308330    0.0324412950    0.0019598503    
0.0119724210    0.0344269210    0.0019909602    
0.0122140100    0.0345980750    0.0019778403    
0.0124555980    0.0320138550    0.0018452479    
0.0126971870    0.0275880080    0.0017661412    
0.0129387760    0.0295538900    0.0017295106    
0.0131803640    0.0310619480    0.0018023970    
0.0134219530    0.0286029690    0.0016681590    
0.0136635410    0.0294147240    0.0016982599    
0.0139051300    0.0260810550    0.0015991321    
0.0141467180    0.0258498350    0.0015559772    
