# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00512.dat
q(1/A)          Column          Error           
0.0040000000    0.8110955200    0.0207700280    
0.0042415885    0.8614795900    0.0201326440    
0.0044831771    0.6830044800    0.0166884560    
0.0047247656    0.5187521000    0.0140821820    
0.0049663541    0.4019872100    0.0116874530    
0.0052079426    0.3259712300    0.0108296690    
0.0054495312    0.2752406100    0.0091746871    
0.0056911197    0.2786386400    0.0087032090    
0.0059327082    0.1867558500    0.0071251802    
0.0061742967    0.1600265100    0.0063206673    
0.0064158853    0.1595172300    0.0062471767    
0.0066574738    0.1336883000    0.0054040291    
0.0068990623    0.1125428300    0.0050031390    
0.0071406509    0.1053747700    0.0047554967    
0.0073822394    0.0938525360    0.0043383350    
0.0076238279    0.0814253480    0.0039450710    
0.0078654164    0.0704379200    0.0037279700    
0.0081070050    0.0728656300    0.0035941965    
0.0083485935    0.0618258190    0.0031969370    
0.0085901820    0.0579806710    0.0031170602    
0.0088317705    0.0576694610    0.0030268617    
0.0090733591    0.0531661350    0.0028875881    
0.0093149476    0.0477666250    0.0026374706    
0.0095565361    0.0476209950    0.0026334470    
0.0097981247    0.0439802460    0.0025307788    
0.0100397130    0.0421356000    0.0023931413    
0.0102813020    0.0406815580    0.0024055510    
0.0105228900    0.0363242710    0.0021293665    
0.0107644790    0.0361890430    0.0021474246    
0.0110060670    0.0368198660    0.0021117642    
0.0112476560    0.0335805540    0.0020068219    
0.0114892440    0.0365822440    0.0020644555    
0.0117308330    0.0319671490    0.0019207198    
0.0119724210    0.0346786340    0.0019727985    
0.0122140100    0.0285434710    0.0017736050    
0.0124555980    0.0288199210    0.0017285040    
0.0126971870    0.0284332640    0.0017701777    
0.0129387760    0.0316674680    0.0017675057    
0.0131803640    0.0294609400    0.0017329964    
0.0134219530    0.0263624080    0.0015811122    
0.0136635410    0.0262816560    0.0015848435    
0.0139051300    0.0287664670    0.0016580716    
0.0141467180    0.0262003500    0.0015465578    
0.0143883070    0.0255295640    0.0015043440    
0.0146298950    0.0257068530    0.0015095584    
0.0148714840    0.0273441650    0.0015682954    
0.0151130720    0.0234097530    0.0014353441    
0.0153546610    0.0275648380    0.0014993295    
0.0155962490    0.0259637400    0.0014699073    
0.0158378380    0.0254190460    0.0014209679    
0.0160794260    0.0232743140    0.0013597000    
0.0163210150    0.0267452570    0.0014255270    
0.0165626030    0.0240712220    0.0013783142    
0.0168041920    0.0207300310    0.0012322725    
0.0170457800    0.0223899430    0.0012883965    
0.0172873690    0.0227078080    0.0012897168    
0.0175289580    0.0249001370    0.0013425254    
0.0177705460    0.0274017320    0.0013839965    
0.0180121350    0.0265843820    0.0013478817    
0.0182537230    0.0241984460    0.0012718421    
0.0184953120    0.0212081530    0.0011874286    
0.0187369000    0.0232691340    0.0012437875    
0.0189784890    0.0219435810    0.0011762994    
0.0192200770    0.0235548700    0.0012380165    
0.0194616660    0.0221798830    0.0011706095    
0.0197032540    0.0213291870    0.0011567376    
0.0199448430    0.0198235970    0.0011151645    
0.0201864310    0.0215002770    0.0011525358    
0.0204280200    0.0218529760    0.0011391651    
0.0206696080    0.0212344960    0.0011069246    
0.0209111970    0.0208501920    0.0011209133    
0.0211527850    0.0216341390    0.0011068988    
0.0213943740    0.0216778650    0.0011105907    
0.0216359620    0.0196415840    0.0010620952    
0.0218775510    0.0209950980    0.0010929611    
0.0221191400    0.0203516230    0.0010566036    
0.0223607280    0.0201355960    0.0010439820    
0.0226023170    0.0217091190    0.0011165966    
0.0228439050    0.0190581480    0.0010002934    
0.0230854940    0.0203359160    0.0010310719    
0.0233270820    0.0198329410    0.0010160723    
0.0235686710    0.0215130590    0.0010650551    
0.0238102590    0.0199164010    0.0010033738    
0.0240518480    0.0215698760    0.0010377812    
0.0242934360    0.0211763080    0.0010432818    
0.0245350250    0.0229116500    0.0010717618    
0.0247766130    0.0174826700    0.0009305086    
0.0250182020    0.0187537680    0.0009736471    
0.0252597900    0.0203721400    0.0009905273    
0.0255013790    0.0216209680    0.0010124946    
0.0257429670    0.0206579210    0.0009916119    
0.0259845560    0.0213029490    0.0009954214    
0.0262261450    0.0213135040    0.0010013958    
0.0264677330    0.0208787360    0.0009798877    
0.0267093220    0.0183946810    0.0009129127    
0.0269509100    0.0198842160    0.0009544729    
0.0271924990    0.0205838000    0.0009639247    
0.0274340870    0.0200838920    0.0009574620    
0.0276756760    0.0204470760    0.0009502562    
0.0279172640    0.0202855190    0.0009447908    
0.0281588530    0.0186712930    0.0008952200    
0.0284004410    0.0183056850    0.0008942912    
0.0286420300    0.0206404190    0.0009314890    
0.0288836180    0.0200448130    0.0009275633    
0.0291252070    0.0206765110    0.0009228379    
0.0293667950    0.0198257610    0.0009144941    
0.0296083840    0.0203881930    0.0009163812    
0.0298499720    0.0193238610    0.0008951606    
0.0300915610    0.0194820520    0.0008957857    
0.0303331490    0.0206987420    0.0009156584    
0.0305747380    0.0197305100    0.0008823752    
0.0308163270    0.0199672760    0.0008876537    
0.0310579150    0.0192857700    0.0008766259    
0.0312995040    0.0190943270    0.0008652466    
0.0315410920    0.0198056740    0.0008770100    
0.0317826810    0.0200280230    0.0008791327    
0.0320242690    0.0199968410    0.0008702508    
0.0322658580    0.0191674990    0.0008641376    
0.0325074460    0.0228096830    0.0009265800    
0.0327490350    0.0189666310    0.0008423377    
0.0329906230    0.0205835290    0.0008682638    
0.0332322120    0.0199804300    0.0008606180    
0.0334738000    0.0199912550    0.0008493470    
0.0337153890    0.0189969990    0.0008267383    
0.0339569770    0.0174291990    0.0007930560    
0.0341985660    0.0179512610    0.0008060354    
0.0344401540    0.0190015610    0.0008184552    
0.0346817430    0.0198740040    0.0008443655    
0.0349233310    0.0189894690    0.0008217547    
0.0351649200    0.0183665070    0.0007933123    
0.0354065090    0.0189558220    0.0008104924    
0.0356480970    0.0194109080    0.0008087878    
0.0358896860    0.0183666040    0.0007955459    
0.0361312740    0.0185672210    0.0007888456    
0.0363728630    0.0205992970    0.0008286253    
0.0366144510    0.0178919100    0.0007786455    
0.0368560400    0.0191714790    0.0007940015    
0.0370976280    0.0193772090    0.0008080855    
0.0373392170    0.0196387900    0.0008057893    
0.0375808050    0.0199027600    0.0008025567    
0.0378223940    0.0191907920    0.0007880714    
0.0380639820    0.0197357710    0.0008023732    
0.0383055710    0.0189767030    0.0007715127    
0.0385471590    0.0192818570    0.0007806996    
0.0387887480    0.0186679400    0.0007711655    
0.0390303360    0.0196411450    0.0007819016    
0.0392719250    0.0192497660    0.0007730892    
0.0395135140    0.0191566220    0.0007712166    
0.0397551020    0.0192692640    0.0007886385    
0.0399966910    0.0197700670    0.0007689665    
0.0402382790    0.0198519280    0.0007762718    
0.0404798680    0.0188129690    0.0007501222    
0.0407214560    0.0184866510    0.0007509689    
0.0409630450    0.0195903950    0.0007608279    
0.0412046330    0.0195607020    0.0007648840    
0.0414462220    0.0189374950    0.0007462418    
0.0416878100    0.0172492920    0.0007113488    
0.0419293990    0.0188176200    0.0007420945    
0.0421709870    0.0200782540    0.0007638128    
0.0424125760    0.0192147720    0.0007507833    
0.0426541640    0.0182355800    0.0007202621    
0.0428957530    0.0180499670    0.0007174218    
0.0431373410    0.0188330010    0.0007319654    
0.0433789300    0.0190788600    0.0007316409    
0.0436205180    0.0206674840    0.0007597518    
0.0438621070    0.0184896600    0.0007202549    
0.0441036960    0.0182935160    0.0007147868    
0.0443452840    0.0190503610    0.0007236634    
0.0445868730    0.0175076600    0.0007008673    
