# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00131.dat
q(1/A)          Column          Error           
0.0040000000    0.8235537100    0.0212782560    
0.0042415885    0.8967998300    0.0208840660    
0.0044831771    0.6705896900    0.0168120930    
0.0047247656    0.5370038800    0.0145669190    
0.0049663541    0.4225431600    0.0121825520    
0.0052079426    0.3745057600    0.0118016780    
0.0054495312    0.2949372300    0.0096558115    
0.0056911197    0.2635713900    0.0086059111    
0.0059327082    0.2056868400    0.0076024045    
0.0061742967    0.1845091500    0.0069002510    
0.0064158853    0.1481956900    0.0061219073    
0.0066574738    0.1307369900    0.0054332439    
0.0068990623    0.1108134000    0.0050474123    
0.0071406509    0.1075907200    0.0048854431    
0.0073822394    0.1015720400    0.0045885572    
0.0076238279    0.0802147080    0.0039809891    
0.0078654164    0.0685260240    0.0037384011    
0.0081070050    0.0683545910    0.0035392666    
0.0083485935    0.0666408970    0.0033744930    
0.0085901820    0.0597591190    0.0032173228    
0.0088317705    0.0540272820    0.0029786205    
0.0090733591    0.0526861790    0.0029225034    
0.0093149476    0.0505787320    0.0027592961    
0.0095565361    0.0432026670    0.0025501728    
0.0097981247    0.0401920280    0.0024597122    
0.0100397130    0.0411654680    0.0024049123    
0.0102813020    0.0396984240    0.0024159691    
0.0105228900    0.0392243230    0.0022496692    
0.0107644790    0.0362217480    0.0021842536    
0.0110060670    0.0400623620    0.0022395541    
0.0112476560    0.0343389920    0.0020632301    
0.0114892440    0.0325148990    0.0019787938    
0.0117308330    0.0324467340    0.0019673722    
0.0119724210    0.0315537050    0.0019132244    
0.0122140100    0.0290485960    0.0018190937    
0.0124555980    0.0311830740    0.0018279842    
0.0126971870    0.0293903440    0.0018297629    
0.0129387760    0.0297761890    0.0017425197    
0.0131803640    0.0271860690    0.0016925307    
0.0134219530    0.0237210330    0.0015248458    
0.0136635410    0.0279566040    0.0016618476    
0.0139051300    0.0244990730    0.0015556927    
0.0141467180    0.0234964630    0.0014890279    
0.0143883070    0.0268470450    0.0015684211    
0.0146298950    0.0246479690    0.0015028132    
0.0148714840    0.0240806830    0.0014963008    
0.0151130720    0.0231061120    0.0014498064    
0.0153546610    0.0253736640    0.0014625137    
0.0155962490    0.0268376950    0.0015193853    
0.0158378380    0.0220050330    0.0013441713    
0.0160794260    0.0220871410    0.0013466768    
0.0163210150    0.0208126770    0.0012785126    
0.0165626030    0.0243920020    0.0014106259    
0.0168041920    0.0242293330    0.0013544609    
0.0170457800    0.0228370640    0.0013229156    
0.0172873690    0.0221092660    0.0012938469    
0.0175289580    0.0207253090    0.0012452631    
0.0177705460    0.0249280890    0.0013420832    
0.0180121350    0.0226050200    0.0012636590    
0.0182537230    0.0231473710    0.0012646760    
0.0184953120    0.0210286580    0.0012021283    
0.0187369000    0.0214409840    0.0012138567    
0.0189784890    0.0217697120    0.0011911856    
0.0192200770    0.0221954540    0.0012218195    
0.0194616660    0.0193501970    0.0011116398    
0.0197032540    0.0194533590    0.0011231402    
0.0199448430    0.0198424260    0.0011343160    
0.0201864310    0.0208190240    0.0011530591    
0.0204280200    0.0187828790    0.0010737457    
0.0206696080    0.0198020510    0.0010867787    
0.0209111970    0.0200570830    0.0011177376    
0.0211527850    0.0201378290    0.0010857590    
0.0213943740    0.0205843680    0.0011002807    
0.0216359620    0.0205401890    0.0011042474    
0.0218775510    0.0205255550    0.0010987078    
0.0221191400    0.0187685650    0.0010316137    
0.0223607280    0.0200300730    0.0010586223    
0.0226023170    0.0194716250    0.0010751406    
0.0228439050    0.0208393060    0.0010634514    
