# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00481.dat
q(1/A)          Column          Error           
0.0040000000    0.8327871500    0.0210579280    
0.0042415885    0.8624622600    0.0201556090    
0.0044831771    0.6707202400    0.0165471280    
0.0047247656    0.5526400000    0.0145431580    
0.0049663541    0.4129916700    0.0118531000    
0.0052079426    0.3515572100    0.0112530720    
0.0054495312    0.2602459800    0.0089263636    
0.0056911197    0.2541905900    0.0083173701    
0.0059327082    0.2041145000    0.0074532077    
0.0061742967    0.1792042000    0.0066925034    
0.0064158853    0.1457377500    0.0059746653    
0.0066574738    0.1338407900    0.0054101934    
0.0068990623    0.1106671700    0.0049641010    
0.0071406509    0.1007681000    0.0046530387    
0.0073822394    0.0891411510    0.0042304518    
0.0076238279    0.0924255960    0.0042055102    
0.0078654164    0.0839503180    0.0040721886    
0.0081070050    0.0814683080    0.0038026150    
0.0083485935    0.0701712540    0.0034078174    
0.0085901820    0.0635830640    0.0032660426    
0.0088317705    0.0559856910    0.0029840473    
0.0090733591    0.0536978140    0.0029036452    
0.0093149476    0.0533613620    0.0027892431    
0.0095565361    0.0537987500    0.0028006510    
0.0097981247    0.0532155660    0.0027854300    
0.0100397130    0.0440887320    0.0024493740    
0.0102813020    0.0434336660    0.0024870045    
0.0105228900    0.0418643000    0.0022872911    
0.0107644790    0.0409504710    0.0022856324    
0.0110060670    0.0357705610    0.0020826426    
0.0112476560    0.0363804080    0.0020899998    
0.0114892440    0.0369738830    0.0020766602    
0.0117308330    0.0362784640    0.0020473121    
0.0119724210    0.0331451980    0.0019297881    
0.0122140100    0.0324376550    0.0018918025    
0.0124555980    0.0345610820    0.0018939356    
0.0126971870    0.0306723410    0.0018396048    
0.0129387760    0.0312097650    0.0017556865    
0.0131803640    0.0340871210    0.0018651643    
0.0134219530    0.0317089500    0.0017350365    
0.0136635410    0.0320523550    0.0017512072    
0.0139051300    0.0313826040    0.0017328144    
0.0141467180    0.0286978890    0.0016195156    
0.0143883070    0.0276885750    0.0015675569    
0.0146298950    0.0282210480    0.0015825578    
0.0148714840    0.0289962650    0.0016158987    
0.0151130720    0.0253748100    0.0014952250    
0.0153546610    0.0278412180    0.0015076865    
0.0155962490    0.0299090220    0.0015785378    
0.0158378380    0.0279133200    0.0014899028    
0.0160794260    0.0295038230    0.0015317622    
0.0163210150    0.0275364400    0.0014472832    
0.0165626030    0.0274961980    0.0014739509    
0.0168041920    0.0266204420    0.0013972108    
0.0170457800    0.0244195160    0.0013462915    
0.0172873690    0.0246404090    0.0013442445    
0.0175289580    0.0261604740    0.0013768670    
0.0177705460    0.0326116650    0.0015107062    
0.0180121350    0.0268199610    0.0013546126    
0.0182537230    0.0261668090    0.0013233124    
0.0184953120    0.0266236300    0.0013311815    
0.0187369000    0.0255586850    0.0013042862    
0.0189784890    0.0256300470    0.0012719979    
0.0192200770    0.0248845970    0.0012732068    
0.0194616660    0.0231948290    0.0011977758    
0.0197032540    0.0223583880    0.0011849922    
0.0199448430    0.0240541090    0.0012291075    
0.0201864310    0.0238133580    0.0012136411    
0.0204280200    0.0239586820    0.0011934670    
0.0206696080    0.0236272160    0.0011682906    
0.0209111970    0.0230458340    0.0011791274    
0.0211527850    0.0248906290    0.0011879649    
0.0213943740    0.0248924750    0.0011907686    
0.0216359620    0.0259311660    0.0012210509    
0.0218775510    0.0258038700    0.0012123716    
0.0221191400    0.0247683330    0.0011662953    
0.0223607280    0.0234641360    0.0011276144    
0.0226023170    0.0240337630    0.0011755298    
0.0228439050    0.0221284640    0.0010784754    
0.0230854940    0.0232376510    0.0011028101    
0.0233270820    0.0239204820    0.0011165125    
0.0235686710    0.0240186460    0.0011260115    
0.0238102590    0.0232791740    0.0010853971    
0.0240518480    0.0218444170    0.0010449602    
0.0242934360    0.0235675060    0.0011012372    
0.0245350250    0.0219339430    0.0010492428    
0.0247766130    0.0233037600    0.0010749223    
