# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00165.dat
q(1/A)          Column          Error           
0.0040000000    0.8077447200    0.0209680080    
0.0042415885    0.8715118400    0.0204849070    
0.0044831771    0.6568278200    0.0165557620    
0.0047247656    0.5445745200    0.0145961290    
0.0049663541    0.4329471800    0.0122701600    
0.0052079426    0.3571584100    0.0114676650    
0.0054495312    0.2776078200    0.0093211583    
0.0056911197    0.2706876200    0.0086778466    
0.0059327082    0.2158824200    0.0077497271    
0.0061742967    0.1767983000    0.0067208628    
0.0064158853    0.1597418600    0.0063242408    
0.0066574738    0.1377085000    0.0055484336    
0.0068990623    0.1181334100    0.0051854811    
0.0071406509    0.0990534830    0.0046642463    
0.0073822394    0.1009725500    0.0045521942    
0.0076238279    0.0852853780    0.0040844288    
0.0078654164    0.0724887850    0.0038258118    
0.0081070050    0.0745694250    0.0036782385    
0.0083485935    0.0680083750    0.0033919494    
0.0085901820    0.0677395490    0.0034083466    
0.0088317705    0.0536526620    0.0029534819    
0.0090733591    0.0500758180    0.0028349849    
0.0093149476    0.0481383610    0.0026784901    
0.0095565361    0.0442634460    0.0025684257    
0.0097981247    0.0484364310    0.0026867698    
0.0100397130    0.0432599430    0.0024530463    
0.0102813020    0.0388669870    0.0023786210    
0.0105228900    0.0404949860    0.0022744250    
0.0107644790    0.0339055020    0.0021027300    
0.0110060670    0.0354497130    0.0020961855    
0.0112476560    0.0335066140    0.0020279125    
0.0114892440    0.0290916660    0.0018624031    
0.0117308330    0.0301163530    0.0018859592    
0.0119724210    0.0290577570    0.0018268455    
0.0122140100    0.0311282110    0.0018736981    
0.0124555980    0.0293877150    0.0017657367    
0.0126971870    0.0243612090    0.0016575703    
0.0129387760    0.0280666880    0.0016833281    
0.0131803640    0.0303584650    0.0017796447    
0.0134219530    0.0249408630    0.0015557683    
0.0136635410    0.0253313220    0.0015740118    
0.0139051300    0.0252335180    0.0015709702    
0.0141467180    0.0269998350    0.0015882256    
0.0143883070    0.0246750410    0.0014961441    
0.0146298950    0.0247657580    0.0014988919    
0.0148714840    0.0262345740    0.0015540020    
0.0151130720    0.0249478450    0.0014989707    
0.0153546610    0.0235356350    0.0014015266    
0.0155962490    0.0252933980    0.0014676718    
0.0158378380    0.0208920220    0.0013032085    
0.0160794260    0.0246314500    0.0014150398    
0.0163210150    0.0241048190    0.0013690617    
0.0165626030    0.0250379090    0.0014220577    
0.0168041920    0.0230138870    0.0013134719    
0.0170457800    0.0209407970    0.0012604878    
0.0172873690    0.0197904430    0.0012180176    
0.0175289580    0.0231859930    0.0013105498    
0.0177705460    0.0246802250    0.0013287386    
0.0180121350    0.0239188960    0.0012933858    
0.0182537230    0.0236697170    0.0012724919    
0.0184953120    0.0219081700    0.0012208946    
0.0187369000    0.0206834900    0.0011862795    
0.0189784890    0.0210370060    0.0011651320    
0.0192200770    0.0215752200    0.0011986233    
0.0194616660    0.0223191460    0.0011879283    
0.0197032540    0.0220847200    0.0011907283    
0.0199448430    0.0202229270    0.0011394328    
0.0201864310    0.0210546050    0.0011537853    
0.0204280200    0.0206623520    0.0011205734    
0.0206696080    0.0189555870    0.0010579977    
0.0209111970    0.0204743490    0.0011236759    
0.0211527850    0.0202853430    0.0010842972    
0.0213943740    0.0190986840    0.0010545484    
0.0216359620    0.0209824730    0.0011105102    
0.0218775510    0.0189822290    0.0010513284    
0.0221191400    0.0194801670    0.0010457502    
0.0223607280    0.0191107930    0.0010288905    
0.0226023170    0.0213351200    0.0011198034    
0.0228439050    0.0202022610    0.0010418521    
0.0230854940    0.0218814210    0.0010819666    
0.0233270820    0.0196574220    0.0010233245    
0.0235686710    0.0192640810    0.0010195633    
0.0238102590    0.0193474750    0.0010004341    
0.0240518480    0.0202858160    0.0010181159    
0.0242934360    0.0204090520    0.0010361126    
0.0245350250    0.0199071900    0.0010106345    
0.0247766130    0.0201722430    0.0010111432    
0.0250182020    0.0190888190    0.0009937242    
0.0252597900    0.0202077610    0.0009979902    
0.0255013790    0.0192636630    0.0009668155    
0.0257429670    0.0208973990    0.0010089359    
0.0259845560    0.0190878360    0.0009532010    
0.0262261450    0.0197895780    0.0009761479    
0.0264677330    0.0186372410    0.0009365566    
0.0267093220    0.0192420970    0.0009445574    
0.0269509100    0.0186143260    0.0009342262    
0.0271924990    0.0183395750    0.0009204369    
0.0274340870    0.0186382940    0.0009330818    
0.0276756760    0.0174451860    0.0008879366    
0.0279172640    0.0167519820    0.0008685498    
0.0281588530    0.0187564690    0.0009076891    
0.0284004410    0.0164534830    0.0008576971    
0.0286420300    0.0178104710    0.0008753369    
