# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00509.dat
q(1/A)          Column          Error           
0.0040000000    0.7841669800    0.0204248940    
0.0042415885    0.8452241400    0.0199442970    
0.0044831771    0.6599274100    0.0164061590    
0.0047247656    0.5238530700    0.0141530230    
0.0049663541    0.4299588900    0.0120887580    
0.0052079426    0.3552034200    0.0113062500    
0.0054495312    0.2948872200    0.0094976778    
0.0056911197    0.2504298100    0.0082519428    
0.0059327082    0.1998544100    0.0073717409    
0.0061742967    0.1683072100    0.0064829515    
0.0064158853    0.1426715800    0.0059088529    
0.0066574738    0.1343773300    0.0054186168    
0.0068990623    0.1087890200    0.0049196097    
0.0071406509    0.1034692000    0.0047128929    
0.0073822394    0.1010973100    0.0045032322    
0.0076238279    0.0929170050    0.0042148009    
0.0078654164    0.0688767500    0.0036868879    
0.0081070050    0.0675639130    0.0034614041    
0.0083485935    0.0623373790    0.0032105383    
0.0085901820    0.0672141050    0.0033565122    
0.0088317705    0.0594319230    0.0030731516    
0.0090733591    0.0531794700    0.0028883123    
0.0093149476    0.0457392740    0.0025812166    
0.0095565361    0.0512746000    0.0027329454    
0.0097981247    0.0418062790    0.0024677466    
0.0100397130    0.0399708820    0.0023311492    
0.0102813020    0.0389844150    0.0023551346    
0.0105228900    0.0399542340    0.0022335096    
0.0107644790    0.0396394900    0.0022477493    
0.0110060670    0.0384040290    0.0021569852    
0.0112476560    0.0349085430    0.0020463750    
0.0114892440    0.0330954240    0.0019638521    
0.0117308330    0.0334758060    0.0019657670    
0.0119724210    0.0326667100    0.0019149565    
0.0122140100    0.0305348430    0.0018346609    
0.0124555980    0.0317306030    0.0018139178    
0.0126971870    0.0317474180    0.0018707346    
0.0129387760    0.0303926060    0.0017317794    
0.0131803640    0.0312017600    0.0017836859    
0.0134219530    0.0288351870    0.0016538114    
0.0136635410    0.0322150520    0.0017548657    
0.0139051300    0.0298252110    0.0016885201    
0.0141467180    0.0284897540    0.0016129147    
0.0143883070    0.0296146280    0.0016204404    
0.0146298950    0.0281959630    0.0015811511    
0.0148714840    0.0269911420    0.0015583343    
0.0151130720    0.0272008570    0.0015474027    
0.0153546610    0.0235746630    0.0013867449    
0.0155962490    0.0251378720    0.0014465220    
0.0158378380    0.0253459670    0.0014191017    
0.0160794260    0.0232801520    0.0013600410    
0.0163210150    0.0235599690    0.0013381163    
0.0165626030    0.0242351430    0.0013831727    
0.0168041920    0.0239590830    0.0013249403    
0.0170457800    0.0226180310    0.0012951047    
0.0172873690    0.0246185070    0.0013430497    
0.0175289580    0.0274404620    0.0014095218    
0.0177705460    0.0277582040    0.0013931443    
0.0180121350    0.0266594070    0.0013499515    
0.0182537230    0.0256086440    0.0013085406    
0.0184953120    0.0242059690    0.0012687375    
0.0187369000    0.0224104710    0.0012207761    
0.0189784890    0.0222013730    0.0011833372    
0.0192200770    0.0233004380    0.0012314664    
0.0194616660    0.0231742120    0.0011967112    
0.0197032540    0.0212090390    0.0011536196    
0.0199448430    0.0209580450    0.0011467732    
0.0201864310    0.0218764570    0.0011627205    
0.0204280200    0.0231058150    0.0011715113    
0.0206696080    0.0212398220    0.0011072022    
0.0209111970    0.0203129390    0.0011065163    
0.0211527850    0.0215262680    0.0011042743    
0.0213943740    0.0224231520    0.0011296621    
0.0216359620    0.0221166850    0.0011271706    
0.0218775510    0.0216263910    0.0011094104    
0.0221191400    0.0217284740    0.0010918969    
0.0223607280    0.0213317600    0.0010746785    
0.0226023170    0.0201060770    0.0010747150    
0.0228439050    0.0210584960    0.0010516111    
0.0230854940    0.0214914080    0.0010600930    
0.0233270820    0.0216602950    0.0010619834    
0.0235686710    0.0185122000    0.0009881081    
0.0238102590    0.0209326340    0.0010287828    
0.0240518480    0.0219248860    0.0010464177    
0.0242934360    0.0224669120    0.0010747382    
0.0245350250    0.0214129720    0.0010362464    
0.0247766130    0.0205088970    0.0010079573    
0.0250182020    0.0192135290    0.0009856332    
0.0252597900    0.0204735960    0.0009931153    
0.0255013790    0.0217686690    0.0010160745    
0.0257429670    0.0221390370    0.0010266733    
0.0259845560    0.0206569470    0.0009803353    
0.0262261450    0.0200952510    0.0009724774    
0.0264677330    0.0215279720    0.0009951309    
0.0267093220    0.0204386250    0.0009624173    
0.0269509100    0.0209890660    0.0009807547    
0.0271924990    0.0207244160    0.0009673329    
0.0274340870    0.0213216590    0.0009866487    
0.0276756760    0.0201429920    0.0009432820    
0.0279172640    0.0190141910    0.0009148207    
0.0281588530    0.0215954390    0.0009628930    
0.0284004410    0.0193153750    0.0009187387    
0.0286420300    0.0207296910    0.0009336183    
0.0288836180    0.0208655730    0.0009464816    
0.0291252070    0.0199813210    0.0009073050    
0.0293667950    0.0201682770    0.0009224755    
0.0296083840    0.0187041640    0.0008778299    
0.0298499720    0.0215270370    0.0009449320    
0.0300915610    0.0196517320    0.0008997910    
0.0303331490    0.0198125700    0.0008959554    
0.0305747380    0.0203669930    0.0008966069    
0.0308163270    0.0189065690    0.0008638632    
0.0310579150    0.0203268790    0.0009000893    
0.0312995040    0.0200403460    0.0008865327    
0.0315410920    0.0191891310    0.0008633598    
0.0317826810    0.0198400500    0.0008751071    
0.0320242690    0.0194336220    0.0008580154    
0.0322658580    0.0201854770    0.0008868989    
0.0325074460    0.0200670140    0.0008691989    
0.0327490350    0.0202062120    0.0008695369    
0.0329906230    0.0194896510    0.0008449835    
0.0332322120    0.0201708340    0.0008648174    
0.0334738000    0.0204654960    0.0008594700    
0.0337153890    0.0202973380    0.0008546721    
0.0339569770    0.0208264390    0.0008670160    
0.0341985660    0.0188607920    0.0008263063    
0.0344401540    0.0188300160    0.0008148545    
0.0346817430    0.0188742750    0.0008229575    
0.0349233310    0.0193499280    0.0008296213    
0.0351649200    0.0188852300    0.0008045379    
0.0354065090    0.0190992270    0.0008136544    
0.0356480970    0.0200899350    0.0008229158    
0.0358896860    0.0190605610    0.0008105375    
0.0361312740    0.0203821330    0.0008266046    
0.0363728630    0.0182372840    0.0007797700    
0.0366144510    0.0216926030    0.0008574754    
0.0368560400    0.0190118250    0.0007907877    
0.0370976280    0.0201910590    0.0008249843    
0.0373392170    0.0200736280    0.0008147634    
0.0375808050    0.0199077520    0.0008027580    
0.0378223940    0.0189042720    0.0007822643    
0.0380639820    0.0205564530    0.0008189887    
0.0383055710    0.0201736870    0.0007955725    
0.0385471590    0.0193499280    0.0007821745    
0.0387887480    0.0191824540    0.0007818185    
