# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00407.dat
q(1/A)          Column          Error           
0.0040000000    0.7975610100    0.0207246110    
0.0042415885    0.8979966200    0.0206832610    
0.0044831771    0.7316092000    0.0173799010    
0.0047247656    0.5496358600    0.0145858210    
0.0049663541    0.4366121500    0.0122564590    
0.0052079426    0.3846995600    0.0118383110    
0.0054495312    0.3093443500    0.0097872221    
0.0056911197    0.2634123400    0.0085149117    
0.0059327082    0.2166201800    0.0077216755    
0.0061742967    0.1820007200    0.0067827664    
0.0064158853    0.1766266400    0.0066147198    
0.0066574738    0.1433255700    0.0056303601    
0.0068990623    0.1292664700    0.0053954783    
0.0071406509    0.1201674800    0.0051100412    
0.0073822394    0.1114754400    0.0047576559    
0.0076238279    0.1054759000    0.0045180910    
0.0078654164    0.0960926300    0.0043814468    
0.0081070050    0.0946015420    0.0041209079    
0.0083485935    0.0803426610    0.0036671240    
0.0085901820    0.0814432450    0.0037173585    
0.0088317705    0.0772124270    0.0035242490    
0.0090733591    0.0814628230    0.0035966715    
0.0093149476    0.0704831500    0.0032238242    
0.0095565361    0.0628155270    0.0030434222    
0.0097981247    0.0629629810    0.0030469922    
0.0100397130    0.0622060490    0.0029259264    
0.0102813020    0.0610666500    0.0029656587    
0.0105228900    0.0609196860    0.0027748157    
0.0107644790    0.0541894510    0.0026441745    
0.0110060670    0.0513841700    0.0025102810    
0.0112476560    0.0570734830    0.0026326035    
0.0114892440    0.0529655800    0.0024996003    
0.0117308330    0.0526996060    0.0024815275    
0.0119724210    0.0476128540    0.0023260401    
0.0122140100    0.0455275080    0.0022539475    
0.0124555980    0.0491247710    0.0022707933    
0.0126971870    0.0458622690    0.0022622189    
0.0129387760    0.0407544630    0.0020176466    
0.0131803640    0.0474802810    0.0022137795    
0.0134219530    0.0447438040    0.0020727167    
0.0136635410    0.0445127630    0.0020754183    
0.0139051300    0.0468351680    0.0021288713    
0.0141467180    0.0444607690    0.0020272366    
0.0143883070    0.0486470930    0.0020895716    
0.0146298950    0.0460442040    0.0020329013    
0.0148714840    0.0433515610    0.0019870155    
0.0151130720    0.0413466070    0.0019194680    
0.0153546610    0.0430212630    0.0018847958    
0.0155962490    0.0421297970    0.0018841018    
0.0158378380    0.0398930870    0.0017912525    
0.0160794260    0.0392496510    0.0017767482    
0.0163210150    0.0389279320    0.0017305577    
0.0165626030    0.0396357130    0.0017796960    
0.0168041920    0.0382710100    0.0016847873    
0.0170457800    0.0382844950    0.0016952659    
0.0172873690    0.0419052730    0.0017629681    
0.0175289580    0.0379646800    0.0016680723    
0.0177705460    0.0416174980    0.0017162767    
0.0180121350    0.0398571410    0.0016607142    
0.0182537230    0.0356694340    0.0015537850    
0.0184953120    0.0378316420    0.0015958315    
0.0187369000    0.0368219000    0.0015743908    
0.0189784890    0.0375415580    0.0015481877    
0.0192200770    0.0375537840    0.0015729549    
0.0194616660    0.0368456990    0.0015182006    
0.0197032540    0.0343636550    0.0014774089    
0.0199448430    0.0355705110    0.0015031285    
0.0201864310    0.0362201350    0.0015052574    
0.0204280200    0.0360160680    0.0014715766    
0.0206696080    0.0370416300    0.0014711111    
0.0209111970    0.0352669980    0.0014669137    
0.0211527850    0.0349794340    0.0014162759    
0.0213943740    0.0364095500    0.0014482941    
0.0216359620    0.0366351220    0.0014595782    
0.0218775510    0.0359486700    0.0014390985    
0.0221191400    0.0388803240    0.0014695381    
0.0223607280    0.0358979420    0.0014026487    
0.0226023170    0.0337857230    0.0014016680    
0.0228439050    0.0370521620    0.0014034507    
0.0230854940    0.0322357760    0.0013062596    
0.0233270820    0.0328892080    0.0013166221    
0.0235686710    0.0347026040    0.0013611481    
0.0238102590    0.0347017220    0.0013327116    
0.0240518480    0.0325579070    0.0012829613    
0.0242934360    0.0352849440    0.0013551101    
0.0245350250    0.0358894070    0.0013497601    
0.0247766130    0.0345508680    0.0013162832    
0.0250182020    0.0332174300    0.0013038982    
0.0252597900    0.0325746260    0.0012603501    
0.0255013790    0.0342299700    0.0012819224    
0.0257429670    0.0344113560    0.0012878126    
0.0259845560    0.0326843920    0.0012406826    
0.0262261450    0.0321087380    0.0012367824    
0.0264677330    0.0340386580    0.0012589653    
0.0267093220    0.0322040170    0.0012154623    
0.0269509100    0.0331689310    0.0012404477    
0.0271924990    0.0324508260    0.0012178578    
0.0274340870    0.0310578350    0.0011980820    
0.0276756760    0.0306300350    0.0011703135    
0.0279172640    0.0305198550    0.0011661037    
0.0281588530    0.0318563350    0.0011766406    
0.0284004410    0.0310538730    0.0011720529    
0.0286420300    0.0310292470    0.0011492314    
0.0288836180    0.0314217330    0.0011685868    
0.0291252070    0.0314032950    0.0011443997    
0.0293667950    0.0322040170    0.0011728011    
0.0296083840    0.0303189850    0.0011244689    
0.0298499720    0.0279633310    0.0010835571    
0.0300915610    0.0314032950    0.0011443997    
0.0303331490    0.0298170150    0.0011058519    
0.0305747380    0.0304060260    0.0011022176    
0.0308163270    0.0306857130    0.0011072753    
0.0310579150    0.0310662650    0.0011195505    
0.0312995040    0.0313623930    0.0011158239    
0.0315410920    0.0295695000    0.0010782887    
0.0317826810    0.0302816220    0.0010877480    
0.0320242690    0.0304860600    0.0010812291    
0.0322658580    0.0301370270    0.0010903194    
0.0325074460    0.0299554520    0.0010684756    
0.0327490350    0.0283707460    0.0010366445    
0.0329906230    0.0285178360    0.0010283795    
0.0332322120    0.0286758380    0.0010374554    
0.0334738000    0.0271472480    0.0009959359    
0.0337153890    0.0272859820    0.0009970081    
0.0339569770    0.0297048620    0.0010417950    
0.0341985660    0.0294262920    0.0010384313    
0.0344401540    0.0297696180    0.0010308376    
0.0346817430    0.0303660700    0.0010502325    
0.0349233310    0.0286609990    0.0010158622    
0.0351649200    0.0294908580    0.0010115281    
0.0354065090    0.0287022070    0.0010035491    
0.0356480970    0.0278091480    0.0009741120    
0.0358896860    0.0299012370    0.0010214068    
0.0361312740    0.0282336580    0.0009788260    
0.0363728630    0.0285522930    0.0009816481    
0.0366144510    0.0287180500    0.0009926410    
0.0368560400    0.0268366800    0.0009452818    
0.0370976280    0.0255571180    0.0009338368    
0.0373392170    0.0267808870    0.0009468473    
0.0375808050    0.0268366800    0.0009377495    
0.0378223940    0.0274264980    0.0009479984    
0.0380639820    0.0289340700    0.0009775916    
0.0383055710    0.0281070560    0.0009448084    
0.0385471590    0.0255724600    0.0009046886    
0.0387887480    0.0278366050    0.0009475691    
0.0390303360    0.0268524390    0.0009199494    
0.0392719250    0.0255582440    0.0008963668    
0.0395135140    0.0264384790    0.0009116717    
0.0397551020    0.0272560890    0.0009438012    
0.0399966910    0.0275281650    0.0009130516    
0.0402382790    0.0283683020    0.0009337540    
0.0404798680    0.0268619170    0.0009019349    
0.0407214560    0.0283244610    0.0009353561    
0.0409630450    0.0271657810    0.0009015281    
0.0412046330    0.0261956690    0.0008906795    
0.0414462220    0.0246532230    0.0008567587    
0.0416878100    0.0256337080    0.0008725816    
0.0419293990    0.0262242870    0.0008815198    
0.0421709870    0.0254489990    0.0008652919    
0.0424125760    0.0279802470    0.0009116457    
0.0426541640    0.0248587350    0.0008462012    
0.0428957530    0.0240505160    0.0008333010    
0.0431373410    0.0262989870    0.0008703694    
0.0433789300    0.0262779780    0.0008640146    
0.0436205180    0.0250551090    0.0008417429    
0.0438621070    0.0239484700    0.0008248291    
0.0441036960    0.0256489660    0.0008516600    
0.0443452840    0.0249671590    0.0008336292    
0.0445868730    0.0245450510    0.0008350396    
0.0448284610    0.0249108680    0.0008308240    
0.0450700500    0.0243574730    0.0008495644    
0.0453116380    0.0244150270    0.0008526097    
0.0455532270    0.0257493460    0.0009008556    
0.0457948150    0.0244265140    0.0008762963    
0.0460364040    0.0263205900    0.0009119544    
0.0462779920    0.0247071300    0.0008974034    
0.0465195810    0.0238596560    0.0008818783    
0.0467611690    0.0226696300    0.0008630181    
0.0470027580    0.0238523930    0.0008852454    
0.0472443460    0.0255592860    0.0009351654    
0.0474859350    0.0232031840    0.0008801470    
0.0477275230    0.0238221490    0.0008991091    
0.0479691120    0.0248063480    0.0009187536    
0.0482107000    0.0241478080    0.0009153203    
0.0484522890    0.0250124950    0.0009263887    
0.0486938780    0.0239372980    0.0009126009    
0.0489354660    0.0233377650    0.0009036419    
0.0491770550    0.0254524850    0.0009545428    
0.0494186430    0.0239465760    0.0009076926    
0.0496602320    0.0236344840    0.0008765545    
0.0499018200    0.0241403730    0.0008733681    
0.0501434090    0.0221115900    0.0008223389    
0.0503849970    0.0235427020    0.0008402751    
0.0506265860    0.0254817900    0.0008679132    
0.0508681740    0.0244795030    0.0008466413    
0.0511097630    0.0221036400    0.0008007304    
0.0513513510    0.0234302530    0.0008093847    
0.0515929400    0.0240216440    0.0008328007    
0.0518345280    0.0231786160    0.0008050266    
0.0520761170    0.0230845990    0.0008126164    
0.0523177050    0.0232375140    0.0007910142    
0.0525592940    0.0235141330    0.0008108322    
0.0528008830    0.0214834900    0.0007548529    
0.0530424710    0.0232240500    0.0007873691    
0.0532840600    0.0230556880    0.0007803168    
0.0535256480    0.0230820980    0.0007807636    
0.0537672370    0.0243049180    0.0007944311    
0.0540088250    0.0224776210    0.0007655908    
0.0542504140    0.0221162650    0.0007626298    
0.0544920020    0.0229363760    0.0007701281    
0.0547335910    0.0216630370    0.0007430360    
0.0549751790    0.0225478670    0.0007549584    
0.0552167680    0.0222900220    0.0007513965    
0.0554583560    0.0238062000    0.0007679419    
