# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00495.dat
q(1/A)          Column          Error           
0.0040000000    0.7752436300    0.0203029640    
0.0042415885    0.8410129500    0.0198892740    
0.0044831771    0.6599850700    0.0164025240    
0.0047247656    0.5640854500    0.0146825580    
0.0049663541    0.4358456100    0.0121680040    
0.0052079426    0.3571731900    0.0113345480    
0.0054495312    0.2736349500    0.0091466075    
0.0056911197    0.2706794800    0.0085768077    
0.0059327082    0.2108908400    0.0075705401    
0.0061742967    0.1709633500    0.0065321737    
0.0064158853    0.1394162400    0.0058395037    
0.0066574738    0.1321222200    0.0053715321    
0.0068990623    0.1180702100    0.0051238108    
0.0071406509    0.1008396900    0.0046513882    
0.0073822394    0.0914204860    0.0042811565    
0.0076238279    0.0913390390    0.0041777504    
0.0078654164    0.0779137170    0.0039202645    
0.0081070050    0.0694777100    0.0035091543    
0.0083485935    0.0707327540    0.0034189967    
0.0085901820    0.0596397280    0.0031608993    
0.0088317705    0.0579709820    0.0030343399    
0.0090733591    0.0536216310    0.0028995257    
0.0093149476    0.0519753530    0.0027508274    
0.0095565361    0.0497915150    0.0026924167    
0.0097981247    0.0473164980    0.0026246471    
0.0100397130    0.0415802820    0.0023769865    
0.0102813020    0.0449362830    0.0025278634    
0.0105228900    0.0443007210    0.0023512381    
0.0107644790    0.0412745450    0.0022930303    
0.0110060670    0.0383836620    0.0021558412    
0.0112476560    0.0338109560    0.0020134131    
0.0114892440    0.0370378990    0.0020769822    
0.0117308330    0.0354193860    0.0020214911    
0.0119724210    0.0324249910    0.0019073524    
0.0122140100    0.0343747960    0.0019460896    
0.0124555980    0.0338902100    0.0018741329    
0.0126971870    0.0320611080    0.0018794554    
0.0129387760    0.0322503610    0.0017834491    
0.0131803640    0.0276182760    0.0016776908    
0.0134219530    0.0268290470    0.0015948213    
0.0136635410    0.0268475630    0.0016015913    
0.0139051300    0.0285673360    0.0016520917    
0.0141467180    0.0264668170    0.0015541850    
0.0143883070    0.0264086190    0.0015298102    
0.0146298950    0.0280037710    0.0015753352    
0.0148714840    0.0271566720    0.0015626909    
0.0151130720    0.0257787190    0.0015060089    
0.0153546610    0.0256819390    0.0014470133    
0.0155962490    0.0279531310    0.0015249683    
0.0158378380    0.0266031220    0.0014534838    
0.0160794260    0.0280325430    0.0014920217    
0.0163210150    0.0259781820    0.0014047392    
0.0165626030    0.0258002890    0.0014267592    
0.0168041920    0.0262165220    0.0013855862    
0.0170457800    0.0242366350    0.0013402890    
0.0172873690    0.0216762300    0.0012599053    
0.0175289580    0.0284390030    0.0014345579    
0.0177705460    0.0278832480    0.0013959084    
0.0180121350    0.0262353410    0.0013388166    
0.0182537230    0.0245926450    0.0012819803    
0.0184953120    0.0233955550    0.0012469873    
0.0187369000    0.0227309090    0.0012291468    
0.0189784890    0.0248372210    0.0012512811    
0.0192200770    0.0253046460    0.0012829965    
0.0194616660    0.0211854380    0.0011439061    
0.0197032540    0.0230165360    0.0012014534    
0.0199448430    0.0205079220    0.0011340907    
0.0201864310    0.0241501640    0.0012213263    
0.0204280200    0.0234497590    0.0011798854    
0.0206696080    0.0227284010    0.0011450403    
0.0209111970    0.0230131380    0.0011774546    
0.0211527850    0.0220244140    0.0011166821    
0.0213943740    0.0225819040    0.0011333533    
0.0216359620    0.0214159700    0.0011088769    
0.0218775510    0.0226956670    0.0011362045    
0.0221191400    0.0221008360    0.0011009211    
0.0223607280    0.0218615750    0.0010876540    
0.0226023170    0.0208992310    0.0010954173    
0.0228439050    0.0223595060    0.0010833216    
0.0230854940    0.0206438050    0.0010387026    
0.0233270820    0.0218569690    0.0010665109    
0.0235686710    0.0229830160    0.0011006868    
0.0238102590    0.0208204620    0.0010257506    
0.0240518480    0.0222626720    0.0010541681    
0.0242934360    0.0223008430    0.0010704747    
0.0245350250    0.0215519790    0.0010393287    
0.0247766130    0.0210921650    0.0010219187    
0.0250182020    0.0212247430    0.0010356614    
0.0252597900    0.0198849660    0.0009784752    
0.0255013790    0.0217097230    0.0010144288    
0.0257429670    0.0209376560    0.0009981636    
0.0259845560    0.0225524900    0.0010240558    
0.0262261450    0.0231890040    0.0010443802    
0.0264677330    0.0201832640    0.0009632946    
0.0267093220    0.0216054410    0.0009892452    
0.0269509100    0.0220772150    0.0010055896    
0.0271924990    0.0213452070    0.0009814536    
0.0274340870    0.0209909240    0.0009787069    
0.0276756760    0.0209270060    0.0009612092    
0.0279172640    0.0225233860    0.0009954024    
0.0281588530    0.0204254020    0.0009361968    
0.0284004410    0.0204407270    0.0009448729    
0.0286420300    0.0203404660    0.0009245666    
0.0288836180    0.0196530130    0.0009183250    
0.0291252070    0.0216177940    0.0009434779    
0.0293667950    0.0206636290    0.0009334876    
0.0296083840    0.0209589660    0.0009289898    
0.0298499720    0.0204792220    0.0009214038    
0.0300915610    0.0203001380    0.0009142722    
0.0303331490    0.0219078040    0.0009418900    
0.0305747380    0.0207506910    0.0009047731    
0.0308163270    0.0219736410    0.0009310530    
0.0310579150    0.0203957700    0.0009013742    
0.0312995040    0.0205000830    0.0008964060    
0.0315410920    0.0217413240    0.0009187386    
0.0317826810    0.0217970490    0.0009170088    
0.0320242690    0.0214300130    0.0009007706    
0.0322658580    0.0185389790    0.0008497327    
0.0325074460    0.0209218430    0.0008872838    
0.0327490350    0.0219532520    0.0009061077    
0.0329906230    0.0196623910    0.0008484948    
0.0332322120    0.0200860190    0.0008627684    
0.0334738000    0.0201660400    0.0008529326    
0.0337153890    0.0211138630    0.0008714624    
0.0339569770    0.0204546420    0.0008590142    
0.0341985660    0.0213473430    0.0008788562    
