# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00268.dat
q(1/A)          Column          Error           
0.0040000000    0.8216877500    0.0210966750    
0.0042415885    0.9453721500    0.0212833140    
0.0044831771    0.6743942200    0.0167348120    
0.0047247656    0.5376414800    0.0144675810    
0.0049663541    0.4612928400    0.0126346040    
0.0052079426    0.3792368200    0.0117880050    
0.0054495312    0.2641100500    0.0090695764    
0.0056911197    0.2649405900    0.0085643128    
0.0059327082    0.1982209600    0.0074078651    
0.0061742967    0.1784802200    0.0067363019    
0.0064158853    0.1395298400    0.0058962118    
0.0066574738    0.1354809800    0.0054899664    
0.0068990623    0.1121221900    0.0050395177    
0.0071406509    0.0976971140    0.0046209149    
0.0073822394    0.1000726300    0.0045208206    
0.0076238279    0.0733855310    0.0037795472    
0.0078654164    0.0681172450    0.0036996209    
0.0081070050    0.0684288410    0.0035149535    
0.0083485935    0.0664988970    0.0033459226    
0.0085901820    0.0628020800    0.0032737847    
0.0088317705    0.0545240670    0.0029701152    
0.0090733591    0.0541444770    0.0029407243    
0.0093149476    0.0527982810    0.0027983033    
0.0095565361    0.0525016610    0.0027904318    
0.0097981247    0.0486456070    0.0026860043    
0.0100397130    0.0400040900    0.0023531818    
0.0102813020    0.0398366960    0.0024022431    
0.0105228900    0.0362299600    0.0021460776    
0.0107644790    0.0381526900    0.0022251101    
0.0110060670    0.0342903950    0.0020566012    
0.0112476560    0.0382290260    0.0021608323    
0.0114892440    0.0312043770    0.0019241443    
0.0117308330    0.0324378670    0.0019525301    
0.0119724210    0.0312022000    0.0018884431    
0.0122140100    0.0290687160    0.0018062421    
0.0124555980    0.0333621590    0.0018767680    
0.0126971870    0.0291809510    0.0018097257    
0.0129387760    0.0288342910    0.0017020344    
0.0131803640    0.0273038300    0.0016836263    
0.0134219530    0.0255920590    0.0015721077    
0.0136635410    0.0232614620    0.0015046589    
0.0139051300    0.0259866540    0.0015903574    
0.0141467180    0.0275192110    0.0015995217    
0.0143883070    0.0266312770    0.0015505329    
0.0146298950    0.0286173390    0.0016073099    
0.0148714840    0.0263816920    0.0015545561    
0.0151130720    0.0233027740    0.0014451767    
0.0153546610    0.0240855080    0.0014143497    
0.0155962490    0.0266110110    0.0015017463    
0.0158378380    0.0250778350    0.0014243253    
0.0160794260    0.0207903340    0.0012968654    
0.0163210150    0.0225172930    0.0013199871    
0.0165626030    0.0231478070    0.0013639976    
0.0168041920    0.0214844920    0.0012659858    
0.0170457800    0.0229529600    0.0013164426    
0.0172873690    0.0194703210    0.0012051826    
0.0175289580    0.0241051650    0.0013330187    
0.0177705460    0.0267669490    0.0013804000    
0.0180121350    0.0219233330    0.0012352399    
0.0182537230    0.0228737440    0.0012478650    
0.0184953120    0.0213952970    0.0012035795    
0.0187369000    0.0207182310    0.0011843824    
0.0189784890    0.0210630460    0.0011630122    
0.0192200770    0.0206750140    0.0011704922    
0.0194616660    0.0213925620    0.0011601746    
0.0197032540    0.0205078200    0.0011446349    
0.0199448430    0.0213383540    0.0011675828    
0.0201864310    0.0191274670    0.0010970355    
0.0204280200    0.0195941690    0.0010885650    
0.0206696080    0.0199210810    0.0010819646    
0.0209111970    0.0201905860    0.0011131430    
0.0211527850    0.0205326650    0.0010882291    
0.0213943740    0.0191216140    0.0010526102    
0.0216359620    0.0201784850    0.0010863731    
0.0218775510    0.0202805000    0.0010840383    
0.0221191400    0.0202792010    0.0010643820    
0.0223607280    0.0200651320    0.0010516987    
0.0226023170    0.0193011600    0.0010624939    
0.0228439050    0.0178048110    0.0009756977    
0.0230854940    0.0196453410    0.0010226956    
0.0233270820    0.0183424480    0.0009860961    
0.0235686710    0.0190629200    0.0010117548    
0.0238102590    0.0180177990    0.0009630919    
0.0240518480    0.0208989660    0.0010308700    
0.0242934360    0.0193675120    0.0010068690    
