# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00243.dat
q(1/A)          Column          Error           
0.0040000000    0.8415505700    0.0213823040    
0.0042415885    0.8939150100    0.0207271580    
0.0044831771    0.6780938100    0.0168059310    
0.0047247656    0.5470723800    0.0146159050    
0.0049663541    0.4439404100    0.0124133620    
0.0052079426    0.3774402100    0.0117777660    
0.0054495312    0.2914595500    0.0095419572    
0.0056911197    0.2612965900    0.0085180254    
0.0059327082    0.2032615400    0.0075127625    
0.0061742967    0.1833536000    0.0068379355    
0.0064158853    0.1486974800    0.0060960022    
0.0066574738    0.1334350100    0.0054565633    
0.0068990623    0.1176857000    0.0051708129    
0.0071406509    0.1014992400    0.0047170695    
0.0073822394    0.0989404610    0.0045019469    
0.0076238279    0.0798546060    0.0039485561    
0.0078654164    0.0757796840    0.0039080388    
0.0081070050    0.0747924220    0.0036802945    
0.0083485935    0.0670371310    0.0033644972    
0.0085901820    0.0602526900    0.0032114791    
0.0088317705    0.0551753160    0.0029923016    
0.0090733591    0.0507833440    0.0028522768    
0.0093149476    0.0559326240    0.0028845048    
0.0095565361    0.0458171490    0.0026106744    
0.0097981247    0.0419494680    0.0024980545    
0.0100397130    0.0455394700    0.0025144966    
0.0102813020    0.0425721720    0.0024870928    
0.0105228900    0.0381242890    0.0022047845    
0.0107644790    0.0408709800    0.0023064828    
0.0110060670    0.0313008250    0.0019678660    
0.0112476560    0.0327090340    0.0020017604    
0.0114892440    0.0326075300    0.0019698929    
0.0117308330    0.0295886050    0.0018676162    
0.0119724210    0.0317548380    0.0019079633    
0.0122140100    0.0298318050    0.0018325532    
0.0124555980    0.0258383310    0.0016541296    
0.0126971870    0.0263420470    0.0017220335    
0.0129387760    0.0266035060    0.0016373326    
0.0131803640    0.0305100560    0.0017824165    
0.0134219530    0.0281877180    0.0016523933    
0.0136635410    0.0252840380    0.0015710737    
0.0139051300    0.0254792810    0.0015771279    
0.0141467180    0.0266696840    0.0015770115    
0.0143883070    0.0261682930    0.0015393113    
0.0146298950    0.0246289820    0.0014933514    
0.0148714840    0.0240723790    0.0014871966    
0.0151130720    0.0225639720    0.0014242253    
0.0153546610    0.0249911720    0.0014428660    
0.0155962490    0.0233760970    0.0014096317    
0.0158378380    0.0247477520    0.0014170522    
0.0160794260    0.0217455660    0.0013283218    
0.0163210150    0.0228956390    0.0013330357    
0.0165626030    0.0228145220    0.0013561826    
0.0168041920    0.0212499790    0.0012609543    
0.0170457800    0.0221134010    0.0012940889    
0.0172873690    0.0222975130    0.0012916603    
0.0175289580    0.0212942530    0.0012547759    
0.0177705460    0.0247055590    0.0013281791    
0.0180121350    0.0242930950    0.0013022466    
0.0182537230    0.0215770780    0.0012138055    
0.0184953120    0.0224784730    0.0012355286    
0.0187369000    0.0200336840    0.0011664062    
0.0189784890    0.0201604050    0.0011395334    
0.0192200770    0.0204050260    0.0011645764    
0.0194616660    0.0212677400    0.0011585276    
0.0197032540    0.0219153360    0.0011850456    
0.0199448430    0.0195443780    0.0011191079    
0.0201864310    0.0200686690    0.0011253951    
0.0204280200    0.0171662660    0.0010204286    
0.0206696080    0.0219851590    0.0011383484    
0.0209111970    0.0188972660    0.0010785239    
0.0211527850    0.0189747790    0.0010477069    
0.0213943740    0.0199348190    0.0010763790    
0.0216359620    0.0213539600    0.0011192516    
0.0218775510    0.0213877940    0.0011149158    
0.0221191400    0.0190515660    0.0010332163    
0.0223607280    0.0195727320    0.0010402790    
0.0226023170    0.0179514060    0.0010262136    
0.0228439050    0.0201645510    0.0010399073    
0.0230854940    0.0210395770    0.0010599586    
0.0233270820    0.0190358290    0.0010060748    
0.0235686710    0.0198205850    0.0010332194    
0.0238102590    0.0191048220    0.0009932124    
0.0240518480    0.0195339160    0.0009981365    
0.0242934360    0.0181133500    0.0009751900    
0.0245350250    0.0200236650    0.0010126403    
