# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00348.dat
q(1/A)          Column          Error           
0.0040000000    0.8323554700    0.0211350330    
0.0042415885    0.8697150800    0.0203195580    
0.0044831771    0.6784600500    0.0167075950    
0.0047247656    0.5392399600    0.0144220990    
0.0049663541    0.4296090800    0.0121366240    
0.0052079426    0.3721087000    0.0116227230    
0.0054495312    0.2931490500    0.0095110111    
0.0056911197    0.2932176200    0.0089681160    
0.0059327082    0.2133987900    0.0076507174    
0.0061742967    0.1675137400    0.0064959043    
0.0064158853    0.1528078000    0.0061418640    
0.0066574738    0.1258557200    0.0052668980    
0.0068990623    0.1223090800    0.0052391453    
0.0071406509    0.0991780350    0.0046342852    
0.0073822394    0.0932815960    0.0043445571    
0.0076238279    0.0850517970    0.0040500856    
0.0078654164    0.0784385230    0.0039516757    
0.0081070050    0.0781730800    0.0037395256    
0.0083485935    0.0715567240    0.0034547912    
0.0085901820    0.0659426850    0.0033391376    
0.0088317705    0.0585095850    0.0030625316    
0.0090733591    0.0606078740    0.0030969177    
0.0093149476    0.0540746120    0.0028188340    
0.0095565361    0.0528990770    0.0027880261    
0.0097981247    0.0481969370    0.0026612306    
0.0100397130    0.0466295570    0.0025288428    
0.0102813020    0.0373164030    0.0023142651    
0.0105228900    0.0410597600    0.0022740898    
0.0107644790    0.0366436310    0.0021705814    
0.0110060670    0.0382514450    0.0021620995    
0.0112476560    0.0404176610    0.0022115560    
0.0114892440    0.0342080700    0.0020053126    
0.0117308330    0.0305084610    0.0018848190    
0.0119724210    0.0338586450    0.0019580960    
0.0122140100    0.0325813830    0.0019034247    
0.0124555980    0.0333682590    0.0018682639    
0.0126971870    0.0330261800    0.0019163734    
0.0129387760    0.0316541250    0.0017750752    
0.0131803640    0.0345607300    0.0018854424    
0.0134219530    0.0316711010    0.0017408011    
0.0136635410    0.0281577380    0.0016478070    
0.0139051300    0.0302792110    0.0017087547    
0.0141467180    0.0280022970    0.0016060419    
0.0143883070    0.0291583800    0.0016149333    
0.0146298950    0.0280850650    0.0015849319    
0.0148714840    0.0264106420    0.0015482193    
0.0151130720    0.0282382120    0.0015835203    
0.0153546610    0.0255091100    0.0014488201    
0.0155962490    0.0257778040    0.0014712170    
0.0158378380    0.0286937420    0.0015165114    
0.0160794260    0.0253274370    0.0014247796    
0.0163210150    0.0243029090    0.0013649874    
0.0165626030    0.0250047680    0.0014111007    
0.0168041920    0.0239471270    0.0013303959    
0.0170457800    0.0261823710    0.0013995066    
0.0172873690    0.0245384140    0.0013467204    
0.0175289580    0.0282650100    0.0014367912    
0.0177705460    0.0273664560    0.0013893213    
0.0180121350    0.0282719460    0.0013962519    
0.0182537230    0.0252932740    0.0013061391    
0.0184953120    0.0244179070    0.0012798461    
0.0187369000    0.0228079350    0.0012369340    
0.0189784890    0.0227138820    0.0012021461    
0.0192200770    0.0243579610    0.0012646023    
0.0194616660    0.0240628460    0.0012247666    
0.0197032540    0.0222176120    0.0011858884    
0.0199448430    0.0233569770    0.0012159157    
0.0201864310    0.0249355920    0.0012467796    
0.0204280200    0.0222895140    0.0011556575    
0.0206696080    0.0248609030    0.0012031034    
0.0209111970    0.0239565930    0.0012069157    
0.0211527850    0.0230862020    0.0011485815    
0.0213943740    0.0219305630    0.0011220652    
0.0216359620    0.0224262280    0.0011399893    
0.0218775510    0.0209545960    0.0010968137    
0.0221191400    0.0215866190    0.0010930809    
0.0223607280    0.0223377660    0.0011045315    
0.0226023170    0.0229477690    0.0011531688    
0.0228439050    0.0203952810    0.0010394398    
0.0230854940    0.0227345460    0.0010950846    
0.0233270820    0.0215348010    0.0010635280    
0.0235686710    0.0230369400    0.0011070847    
0.0238102590    0.0197897920    0.0010046745    
0.0240518480    0.0218649520    0.0010495513    
0.0242934360    0.0206928740    0.0010359394    
0.0245350250    0.0219545620    0.0010538527    
0.0247766130    0.0225874060    0.0010624222    
0.0250182020    0.0191777370    0.0009890163    
0.0252597900    0.0220621080    0.0010354261    
0.0255013790    0.0207632290    0.0009966669    
0.0257429670    0.0210841590    0.0010062920    
0.0259845560    0.0228558880    0.0010356991    
0.0262261450    0.0209358270    0.0009969441    
0.0264677330    0.0202779790    0.0009700273    
0.0267093220    0.0196575580    0.0009479716    
0.0269509100    0.0210341520    0.0009860963    
0.0271924990    0.0194939280    0.0009422746    
0.0274340870    0.0223834150    0.0010153323    
0.0276756760    0.0212996760    0.0009742245    
0.0279172640    0.0207790620    0.0009605125    
0.0281588530    0.0218278300    0.0009722888    
0.0284004410    0.0199253190    0.0009372082    
0.0286420300    0.0200628690    0.0009224917    
0.0288836180    0.0216545930    0.0009684228    
0.0291252070    0.0200315920    0.0009124140    
0.0293667950    0.0204299880    0.0009324971    
0.0296083840    0.0205303040    0.0009237020    
0.0298499720    0.0200000350    0.0009147803    
0.0300915610    0.0211536940    0.0009376210    
0.0303331490    0.0190051320    0.0008813419    
0.0305747380    0.0206647680    0.0009070827    
0.0308163270    0.0202267870    0.0008974185    
0.0310579150    0.0192986860    0.0008808605    
0.0312995040    0.0200180050    0.0008899089    
0.0315410920    0.0196314350    0.0008770678    
0.0317826810    0.0194686400    0.0008706641    
0.0320242690    0.0197566310    0.0008688957    
0.0322658580    0.0196153370    0.0008781031    
0.0325074460    0.0209263320    0.0008914917    
0.0327490350    0.0187222830    0.0008406553    
0.0329906230    0.0196233400    0.0008515804    
0.0332322120    0.0182902570    0.0008271140    
0.0334738000    0.0192246790    0.0008366468    
0.0337153890    0.0189140130    0.0008286380    
0.0339569770    0.0200257080    0.0008538990    
0.0341985660    0.0200119190    0.0008548668    
0.0344401540    0.0195640200    0.0008342126    
0.0346817430    0.0196186800    0.0008426945    
0.0349233310    0.0185505580    0.0008158526    
0.0351649200    0.0190160080    0.0008108453    
0.0354065090    0.0187769240    0.0008102841    
0.0356480970    0.0192797460    0.0008096732    
0.0358896860    0.0183582150    0.0007989388    
0.0361312740    0.0185654020    0.0007923520    
0.0363728630    0.0188005530    0.0007951787    
0.0366144510    0.0190104530    0.0008062228    
0.0368560400    0.0184151360    0.0007816790    
0.0370976280    0.0171375520    0.0007633672    
0.0373392170    0.0182811580    0.0007809324    
0.0375808050    0.0184493690    0.0007761708    
0.0378223940    0.0201800180    0.0008117594    
0.0380639820    0.0198148190    0.0008075917    
0.0383055710    0.0183247830    0.0007615520    
0.0385471590    0.0197107150    0.0007928813    
0.0387887480    0.0192861220    0.0007873526    
0.0390303360    0.0184047510    0.0007602932    
0.0392719250    0.0191099030    0.0007737374    
0.0395135140    0.0187026430    0.0007654482    
0.0397551020    0.0199965020    0.0008069932    
0.0399966910    0.0178960120    0.0007349011    
0.0402382790    0.0192650650    0.0007681484    
0.0404798680    0.0189220900    0.0007556755    
0.0407214560    0.0186531910    0.0007577341    
0.0409630450    0.0208401920    0.0007882485    
0.0412046330    0.0189522690    0.0007562779    
0.0414462220    0.0188410570    0.0007476846    
0.0416878100    0.0179670810    0.0007292613    
0.0419293990    0.0187509090    0.0007441071    
0.0421709870    0.0185293360    0.0007370574    
0.0424125760    0.0202462650    0.0007741353    
0.0426541640    0.0188304310    0.0007352048    
0.0428957530    0.0184139750    0.0007278763    
0.0431373410    0.0192897100    0.0007441167    
0.0433789300    0.0179484790    0.0007128252    
0.0436205180    0.0182046900    0.0007162539    
0.0438621070    0.0178069290    0.0007100088    
0.0441036960    0.0199518890    0.0007498379    
0.0443452840    0.0192774540    0.0007312355    
0.0445868730    0.0185712970    0.0007250873    
0.0448284610    0.0185284830    0.0007152842    
0.0450700500    0.0172449300    0.0007136003    
0.0453116380    0.0183366510    0.0007376083    
0.0455532270    0.0179336400    0.0007504995    
0.0457948150    0.0193605250    0.0007787945    
0.0460364040    0.0192388900    0.0007783222    
0.0462779920    0.0198139520    0.0008022435    
0.0465195810    0.0184497130    0.0007741328    
0.0467611690    0.0193822970    0.0007966075    
0.0470027580    0.0176470570    0.0007601126    
0.0472443460    0.0181737070    0.0007871906    
0.0474859350    0.0180655340    0.0007752663    
0.0477275230    0.0200533400    0.0008234919    
0.0479691120    0.0179721220    0.0007806591    
0.0482107000    0.0174255780    0.0007761970    
0.0484522890    0.0187369210    0.0008004016    
0.0486938780    0.0187920500    0.0008071877    
0.0489354660    0.0188284850    0.0008102490    
0.0491770550    0.0175871590    0.0007920858    
0.0494186430    0.0183089580    0.0007923061    
0.0496602320    0.0181421160    0.0007666443    
0.0499018200    0.0195222780    0.0007840336    
0.0501434090    0.0179813320    0.0007402797    
0.0503849970    0.0179020040    0.0007314561    
0.0506265860    0.0181464450    0.0007311411    
0.0508681740    0.0178581280    0.0007218720    
0.0511097630    0.0175173990    0.0007115957    
0.0513513510    0.0182221200    0.0007125413    
0.0515929400    0.0191045000    0.0007413984    
0.0518345280    0.0195595230    0.0007382266    
0.0520761170    0.0183864000    0.0007239638    
0.0523177050    0.0180316850    0.0006955874    
0.0525592940    0.0190579970    0.0007287007    
0.0528008830    0.0188450600    0.0007057530    
0.0530424710    0.0189935050    0.0007108140    
0.0532840600    0.0176593440    0.0006817314    
0.0535256480    0.0189226050    0.0007056941    
0.0537672370    0.0179583310    0.0006816889    
0.0540088250    0.0173843070    0.0006721161    
0.0542504140    0.0177415940    0.0006818648    
0.0544920020    0.0174452840    0.0006704767    
0.0547335910    0.0177527560    0.0006714709    
0.0549751790    0.0189429070    0.0006907768    
0.0552167680    0.0189311620    0.0006912683    
0.0554583560    0.0174284820    0.0006559296    
0.0556999450    0.0187968750    0.0006791587    
0.0559415330    0.0183404800    0.0006755803    
0.0561831220    0.0196367780    0.0006921055    
0.0564247100    0.0190845460    0.0006802906    
0.0566662990    0.0179251910    0.0006567282    
0.0569078870    0.0178153150    0.0006611884    
0.0571494760    0.0177086450    0.0006527493    
0.0573910650    0.0181763490    0.0006512353    
0.0576326530    0.0179342420    0.0006518311    
0.0578742420    0.0177712580    0.0006476206    
0.0581158300    0.0184104670    0.0006529520    
0.0583574190    0.0182955000    0.0006496922    
0.0585990070    0.0194129950    0.0006730245    
0.0588405960    0.0174105370    0.0006361672    
0.0590821840    0.0189823920    0.0006580960    
0.0593237730    0.0194094380    0.0006673102    
0.0595653610    0.0188845080    0.0006606853    
0.0598069500    0.0185589170    0.0006407250    
0.0600485380    0.0196103520    0.0006621945    
0.0602901270    0.0189739040    0.0006519510    
0.0605317150    0.0190354370    0.0006494807    
0.0607733040    0.0170870920    0.0006126019    
0.0610148920    0.0184480770    0.0006399567    
0.0612564810    0.0185476800    0.0006388160    
0.0614980690    0.0188815180    0.0006383118    
0.0617396580    0.0179392660    0.0006362402    
0.0619812470    0.0196633980    0.0006655052    
0.0622228350    0.0185257970    0.0006418808    
0.0624644240    0.0177363810    0.0006235779    
0.0627060120    0.0177794370    0.0006293852    
0.0629476010    0.0180746570    0.0006386366    
0.0631891890    0.0191607970    0.0006533777    
0.0634307780    0.0180178610    0.0006307513    
0.0636723660    0.0178093560    0.0006265310    
0.0639139550    0.0178338290    0.0006258447    
0.0641555430    0.0185146770    0.0006309785    
0.0643971320    0.0176925330    0.0006228067    
0.0646387200    0.0181765090    0.0006198138    
0.0648803090    0.0183426470    0.0006280403    
0.0651218970    0.0172224740    0.0005967234    
0.0653634860    0.0188925270    0.0006297509    
0.0656050740    0.0180656460    0.0006142504    
0.0658466630    0.0177600310    0.0006059644    
0.0660882520    0.0178769490    0.0006064340    
0.0663298400    0.0179573790    0.0006088122    
0.0665714290    0.0175337670    0.0005985929    
0.0668130170    0.0183295300    0.0006140624    
0.0670546060    0.0177724630    0.0006011625    
0.0672961940    0.0174054100    0.0005924870    
0.0675377830    0.0183360790    0.0006032127    
0.0677793710    0.0178512850    0.0005990499    
0.0680209600    0.0169349930    0.0005764739    
0.0682625480    0.0176105630    0.0005883276    
0.0685041370    0.0184170260    0.0005997409    
0.0687457250    0.0191669550    0.0006202281    
0.0689873140    0.0183589280    0.0005978489    
0.0692289020    0.0187872380    0.0006047826    
0.0694704910    0.0191852870    0.0006106744    
0.0697120790    0.0189686100    0.0006053127    
0.0699536680    0.0190119110    0.0006088685    
0.0701952560    0.0188651120    0.0006060347    
0.0704368450    0.0175742490    0.0005867871    
0.0706784340    0.0184747310    0.0006074454    
0.0709200220    0.0179946570    0.0005942359    
0.0711616110    0.0171040350    0.0005788839    
0.0714031990    0.0179771540    0.0005982422    
0.0716447880    0.0180322100    0.0006020780    
0.0718863760    0.0181136720    0.0005952522    
0.0721279650    0.0174300950    0.0005784380    
0.0723695530    0.0169195660    0.0005668268    
0.0726111420    0.0185531290    0.0005972463    
0.0728527300    0.0178144240    0.0005767633    
0.0730943190    0.0188743690    0.0005977573    
0.0733359070    0.0180097310    0.0005803555    
0.0735774960    0.0184487210    0.0005896237    
0.0738190840    0.0180810990    0.0005775795    
0.0740606730    0.0176436160    0.0005718329    
0.0743022610    0.0188766180    0.0005919210    
0.0745438500    0.0180823920    0.0005767387    
0.0747854380    0.0188119930    0.0005822166    
0.0750270270    0.0190274470    0.0005903000    
0.0752686160    0.0190773520    0.0005837575    
0.0755102040    0.0175920780    0.0005613858    
0.0757517930    0.0186951320    0.0005808295    
0.0759933810    0.0181650130    0.0005635442    
0.0762349700    0.0179226380    0.0005670472    
0.0764765580    0.0187171670    0.0005740814    
