# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00382.dat
q(1/A)          Column          Error           
0.0040000000    0.7980268700    0.0207087690    
0.0042415885    0.8504639100    0.0201071590    
0.0044831771    0.7069926900    0.0170669640    
0.0047247656    0.5646980500    0.0147687110    
0.0049663541    0.4600671200    0.0125680760    
0.0052079426    0.3773439000    0.0117122050    
0.0054495312    0.2811902800    0.0093213669    
0.0056911197    0.2793362700    0.0087592487    
0.0059327082    0.2312695600    0.0079700754    
0.0061742967    0.1934720300    0.0069858700    
0.0064158853    0.1658713600    0.0064033929    
0.0066574738    0.1390501400    0.0055398900    
0.0068990623    0.1357354100    0.0055229953    
0.0071406509    0.1238169600    0.0051815787    
0.0073822394    0.1136715900    0.0047992182    
0.0076238279    0.1002319700    0.0043996953    
0.0078654164    0.0855233100    0.0041291043    
0.0081070050    0.0850870400    0.0039040611    
0.0083485935    0.0801730520    0.0036593824    
0.0085901820    0.0728055510    0.0035109954    
0.0088317705    0.0762468280    0.0034984444    
0.0090733591    0.0782800770    0.0035219872    
0.0093149476    0.0660672080    0.0031179043    
0.0095565361    0.0640072060    0.0030689106    
0.0097981247    0.0606229170    0.0029866767    
0.0100397130    0.0596027250    0.0028610224    
0.0102813020    0.0546140070    0.0028016394    
0.0105228900    0.0542327060    0.0026153333    
0.0107644790    0.0561350550    0.0026883816    
0.0110060670    0.0526218340    0.0025376502    
0.0112476560    0.0493188720    0.0024446457    
0.0114892440    0.0469680460    0.0023513433    
0.0117308330    0.0461751400    0.0023203881    
0.0119724210    0.0484194970    0.0023431837    
0.0122140100    0.0498854540    0.0023568662    
0.0124555980    0.0454597060    0.0021821357    
0.0126971870    0.0433157180    0.0021961941    
0.0129387760    0.0445558500    0.0021074194    
0.0131803640    0.0444960440    0.0021408169    
0.0134219530    0.0400502720    0.0019589228    
0.0136635410    0.0420047290    0.0020139726    
0.0139051300    0.0399769140    0.0019647581    
0.0141467180    0.0379101860    0.0018699716    
0.0143883070    0.0404835180    0.0019041845    
0.0146298950    0.0388713420    0.0018658841    
0.0148714840    0.0400791570    0.0019085313    
0.0151130720    0.0374357200    0.0018245054    
0.0153546610    0.0408704400    0.0018351369    
0.0155962490    0.0409477950    0.0018555217    
0.0158378380    0.0386852330    0.0017620641    
0.0160794260    0.0375615950    0.0017362854    
0.0163210150    0.0399973060    0.0017523138    
0.0165626030    0.0376382300    0.0017324400    
0.0168041920    0.0384122530    0.0016861108    
0.0170457800    0.0378291280    0.0016833741    
0.0172873690    0.0364139280    0.0016416667    
0.0175289580    0.0369337640    0.0016435309    
