# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00300.dat
q(1/A)          Column          Error           
0.0040000000    0.8189984900    0.0210972800    
0.0042415885    0.8317071600    0.0199961960    
0.0044831771    0.6699809800    0.0167078070    
0.0047247656    0.5285006200    0.0143680090    
0.0049663541    0.4520705000    0.0125285460    
0.0052079426    0.3805039000    0.0118273910    
0.0054495312    0.2871793500    0.0094731726    
0.0056911197    0.2586037700    0.0084753962    
0.0059327082    0.2149939000    0.0077277960    
0.0061742967    0.1854539200    0.0068781051    
0.0064158853    0.1529956600    0.0061844829    
0.0066574738    0.1419602600    0.0056290903    
0.0068990623    0.1095423400    0.0049895171    
0.0071406509    0.1032865400    0.0047591926    
0.0073822394    0.0911859360    0.0043226279    
0.0076238279    0.0804664660    0.0039642982    
0.0078654164    0.0751994780    0.0038936814    
0.0081070050    0.0737297910    0.0036546501    
0.0083485935    0.0706061040    0.0034534574    
0.0085901820    0.0607859460    0.0032261830    
0.0088317705    0.0551932380    0.0029932736    
0.0090733591    0.0570496630    0.0030236261    
0.0093149476    0.0437487580    0.0025514794    
0.0095565361    0.0449392000    0.0025859604    
0.0097981247    0.0412190680    0.0024766138    
0.0100397130    0.0393044400    0.0023364064    
0.0102813020    0.0395337610    0.0023970864    
0.0105228900    0.0383917670    0.0022128647    
0.0107644790    0.0334625920    0.0020873391    
0.0110060670    0.0341574460    0.0020560366    
0.0112476560    0.0337000240    0.0020321879    
0.0114892440    0.0339276080    0.0020096981    
0.0117308330    0.0313670340    0.0019232363    
0.0119724210    0.0322238560    0.0019223141    
0.0122140100    0.0299541050    0.0018366040    
0.0124555980    0.0280712370    0.0017244024    
0.0126971870    0.0277019160    0.0017662097    
0.0129387760    0.0262089330    0.0016254090    
0.0131803640    0.0297908210    0.0017615682    
0.0134219530    0.0254837730    0.0015713967    
0.0136635410    0.0263664390    0.0016046104    
0.0139051300    0.0244133690    0.0015440371    
0.0141467180    0.0257455380    0.0015496993    
0.0143883070    0.0261767930    0.0015398114    
0.0146298950    0.0273542960    0.0015740629    
0.0148714840    0.0236206530    0.0014734159    
0.0151130720    0.0256287690    0.0015181172    
0.0153546610    0.0247492970    0.0014360999    
0.0155962490    0.0235537530    0.0014152079    
0.0158378380    0.0236194590    0.0013845972    
0.0160794260    0.0245934580    0.0014128572    
0.0163210150    0.0226701640    0.0013266710    
0.0165626030    0.0231445040    0.0013661769    
0.0168041920    0.0223047560    0.0012920798    
0.0170457800    0.0213630300    0.0012721499    
0.0172873690    0.0229783900    0.0013114460    
0.0175289580    0.0230762680    0.0013064364    
0.0177705460    0.0248564370    0.0013324449    
0.0180121350    0.0226250560    0.0012569476    
0.0182537230    0.0200130930    0.0011691774    
0.0184953120    0.0222140430    0.0012284394    
0.0187369000    0.0200401920    0.0011667851    
0.0189784890    0.0205535400    0.0011507773    
0.0192200770    0.0214089670    0.0011930751    
0.0194616660    0.0224109800    0.0011894513    
0.0197032540    0.0212173460    0.0011662108    
0.0199448430    0.0217301520    0.0011802199    
0.0201864310    0.0214009080    0.0011623378    
0.0204280200    0.0196596360    0.0010922020    
0.0206696080    0.0195749160    0.0010743131    
0.0209111970    0.0192728520    0.0010893660    
0.0211527850    0.0198489740    0.0010717438    
0.0213943740    0.0215110170    0.0011183045    
0.0216359620    0.0206566910    0.0011010053    
0.0218775510    0.0206389490    0.0010954017    
0.0221191400    0.0184972330    0.0010182392    
0.0223607280    0.0187494680    0.0010183313    
0.0226023170    0.0166075100    0.0009872140    
0.0228439050    0.0195809890    0.0010249158    
0.0230854940    0.0192836410    0.0010149285    
0.0233270820    0.0189356330    0.0010035865    
0.0235686710    0.0185339570    0.0009992840    
0.0238102590    0.0193692850    0.0010002256    
0.0240518480    0.0187239580    0.0009773827    
0.0242934360    0.0204826120    0.0010371774    
0.0245350250    0.0199789410    0.0010116730    
0.0247766130    0.0184711360    0.0009668234    
0.0250182020    0.0188011190    0.0009854464    
0.0252597900    0.0183065670    0.0009491513    
0.0255013790    0.0206389490    0.0009999603    
0.0257429670    0.0190656070    0.0009629585    
0.0259845560    0.0196762480    0.0009670348    
0.0262261450    0.0212493970    0.0010107307    
0.0264677330    0.0177626540    0.0009136123    
0.0267093220    0.0193513030    0.0009465031    
0.0269509100    0.0190069510    0.0009432991    
0.0271924990    0.0197872610    0.0009553380    
0.0274340870    0.0174435350    0.0009019837    
0.0276756760    0.0191330310    0.0009291821    
0.0279172640    0.0193339840    0.0009323675    
0.0281588530    0.0172363530    0.0008694590    
0.0284004410    0.0176334280    0.0008872340    
0.0286420300    0.0185132200    0.0008917504    
0.0288836180    0.0186836800    0.0009052273    
0.0291252070    0.0174658340    0.0008573641    
0.0293667950    0.0170253790    0.0008566398    
0.0296083840    0.0207906560    0.0009354158    
0.0298499720    0.0192791140    0.0009038188    
0.0300915610    0.0192755470    0.0009006872    
0.0303331490    0.0180872350    0.0008652298    
0.0305747380    0.0193542890    0.0008833984    
0.0308163270    0.0186285030    0.0008666764    
0.0310579150    0.0190141180    0.0008798685    
0.0312995040    0.0187494680    0.0008666945    
0.0315410920    0.0178169550    0.0008408341    
0.0317826810    0.0171919410    0.0008233446    
0.0320242690    0.0194266930    0.0008670557    
0.0322658580    0.0189485070    0.0008685034    
0.0325074460    0.0195763670    0.0008677072    
0.0327490350    0.0202211390    0.0008791799    
0.0329906230    0.0195727980    0.0008558587    
0.0332322120    0.0175752590    0.0008159109    
0.0334738000    0.0175879960    0.0008052990    
0.0337153890    0.0180141940    0.0008137984    
0.0339569770    0.0181779500    0.0008186937    
0.0341985660    0.0172702200    0.0007991705    
0.0344401540    0.0178669280    0.0008022488    
0.0346817430    0.0172649060    0.0007955249    
0.0349233310    0.0194761910    0.0008412433    
0.0351649200    0.0187319610    0.0008098533    
0.0354065090    0.0174570120    0.0007862243    
0.0356480970    0.0172515760    0.0007707436    
0.0358896860    0.0180980780    0.0007982720    
0.0361312740    0.0175337490    0.0007748895    
0.0363728630    0.0193114410    0.0008110043    
0.0366144510    0.0180396540    0.0007903316    
0.0368560400    0.0176070270    0.0007691666    
0.0370976280    0.0177680910    0.0007821966    
0.0373392170    0.0200669980    0.0008233589    
0.0375808050    0.0177905000    0.0007670029    
0.0378223940    0.0171952790    0.0007540629    
0.0380639820    0.0191661230    0.0007992826    
0.0383055710    0.0201917340    0.0008044580    
0.0385471590    0.0174736640    0.0007512515    
0.0387887480    0.0183588540    0.0007730472    
0.0390303360    0.0177475880    0.0007513153    
0.0392719250    0.0179880680    0.0007554278    
0.0395135140    0.0184322180    0.0007646973    
0.0397551020    0.0185680740    0.0007825510    
0.0399966910    0.0176645350    0.0007347478    
0.0402382790    0.0179895640    0.0007469760    
0.0404798680    0.0186425030    0.0007548129    
0.0407214560    0.0180481160    0.0007500541    
0.0409630450    0.0181758130    0.0007407908    
0.0412046330    0.0187036260    0.0007560493    
0.0414462220    0.0182687120    0.0007408941    
0.0416878100    0.0173855980    0.0007218976    
0.0419293990    0.0187195640    0.0007481843    
0.0421709870    0.0178142210    0.0007272625    
0.0424125760    0.0183747780    0.0007421503    
0.0426541640    0.0184587780    0.0007325143    
0.0428957530    0.0177442520    0.0007190334    
0.0431373410    0.0167727800    0.0006982600    
0.0433789300    0.0190648260    0.0007393022    
0.0436205180    0.0193487660    0.0007430849    
0.0438621070    0.0183767720    0.0007258388    
0.0441036960    0.0186353160    0.0007292563    
0.0443452840    0.0182579090    0.0007161341    
0.0445868730    0.0194088530    0.0007459428    
0.0448284610    0.0183999250    0.0007173038    
0.0450700500    0.0177028470    0.0007275825    
0.0453116380    0.0185992320    0.0007475662    
0.0455532270    0.0176203650    0.0007486176    
0.0457948150    0.0179246180    0.0007540943    
0.0460364040    0.0170594650    0.0007375450    
0.0462779920    0.0167429460    0.0007421180    
0.0465195810    0.0175323970    0.0007594124    
0.0467611690    0.0189981340    0.0007936584    
0.0470027580    0.0189649790    0.0007929656    
0.0472443460    0.0175064090    0.0007774869    
