# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00567.dat
q(1/A)          Column          Error           
0.0040000000    0.7739800900    0.0202007160    
0.0042415885    0.8292585800    0.0196663650    
0.0044831771    0.6847368800    0.0166366930    
0.0047247656    0.5434139000    0.0143501410    
0.0049663541    0.4372237600    0.0121357440    
0.0052079426    0.3595118300    0.0113235580    
0.0054495312    0.2707216800    0.0090593556    
0.0056911197    0.2667806000    0.0084788441    
0.0059327082    0.1986033400    0.0073156479    
0.0061742967    0.1616027200    0.0063240031    
0.0064158853    0.1435764700    0.0059009565    
0.0066574738    0.1249451400    0.0052015341    
0.0068990623    0.1073736800    0.0048655659    
0.0071406509    0.0991385650    0.0045925053    
0.0073822394    0.0928364690    0.0042959594    
0.0076238279    0.0801478650    0.0038969226    
0.0078654164    0.0731495200    0.0037824716    
0.0081070050    0.0632681270    0.0033345231    
0.0083485935    0.0568629420    0.0030525626    
0.0085901820    0.0606319550    0.0031736216    
0.0088317705    0.0601594980    0.0030780277    
0.0090733591    0.0519258280    0.0028412549    
0.0093149476    0.0479281170    0.0026303971    
0.0095565361    0.0499491820    0.0026852847    
0.0097981247    0.0417205590    0.0024541506    
0.0100397130    0.0388044510    0.0022865742    
0.0102813020    0.0376482140    0.0023040333    
0.0105228900    0.0387302080    0.0021891608    
0.0107644790    0.0348633740    0.0020985285    
0.0110060670    0.0336177180    0.0020090429    
0.0112476560    0.0332881320    0.0019893464    
0.0114892440    0.0324525320    0.0019359558    
0.0117308330    0.0315743770    0.0019005541    
0.0119724210    0.0311503620    0.0018615902    
0.0122140100    0.0313538220    0.0018507576    
0.0124555980    0.0298021470    0.0017500423    
0.0126971870    0.0270931980    0.0017204198    
0.0129387760    0.0260130650    0.0015949633    
0.0131803640    0.0264759540    0.0016356899    
0.0134219530    0.0270728730    0.0015952843    
0.0136635410    0.0269054300    0.0015965435    
0.0139051300    0.0279475420    0.0016271688    
0.0141467180    0.0256102140    0.0015223692    
0.0143883070    0.0237255480    0.0014438908    
0.0146298950    0.0217923550    0.0013838159    
0.0148714840    0.0264818980    0.0015366356    
0.0151130720    0.0232058990    0.0014228450    
0.0153546610    0.0225550870    0.0013503378    
0.0155962490    0.0219429930    0.0013454112    
0.0158378380    0.0262213520    0.0014369212    
0.0160794260    0.0239378110    0.0013729276    
0.0163210150    0.0247046970    0.0013640887    
0.0165626030    0.0223751470    0.0013230702    
0.0168041920    0.0207673520    0.0012279993    
0.0170457800    0.0198431850    0.0012076178    
0.0172873690    0.0193150900    0.0011842841    
0.0175289580    0.0235352440    0.0012995165    
0.0177705460    0.0235598450    0.0012777120    
0.0180121350    0.0235753300    0.0012637703    
0.0182537230    0.0221323200    0.0012110267    
0.0184953120    0.0235278350    0.0012452251    
0.0187369000    0.0212870890    0.0011844453    
0.0189784890    0.0207523800    0.0011389348    
0.0192200770    0.0227692340    0.0012118841    
0.0194616660    0.0207618510    0.0011276290    
0.0197032540    0.0210812640    0.0011449771    
0.0199448430    0.0211434510    0.0011466646    
0.0201864310    0.0221704720    0.0011652542    
0.0204280200    0.0203676280    0.0010949704    
0.0206696080    0.0188759860    0.0010390888    
0.0209111970    0.0191154930    0.0010685886    
0.0211527850    0.0189755560    0.0010321342    
0.0213943740    0.0197970380    0.0010566877    
0.0216359620    0.0199259950    0.0010650892    
0.0218775510    0.0216018960    0.0011038053    
0.0221191400    0.0220776450    0.0010956951    
0.0223607280    0.0194773450    0.0010222955    
0.0226023170    0.0203245140    0.0010756874    
0.0228439050    0.0214423740    0.0010563899    
0.0230854940    0.0196924300    0.0010102003    
0.0233270820    0.0201762510    0.0010203568    
0.0235686710    0.0206462260    0.0010388244    
0.0238102590    0.0178889320    0.0009467827    
0.0240518480    0.0195507120    0.0009837031    
0.0242934360    0.0198200260    0.0010049152    
0.0245350250    0.0195811400    0.0009864836    
0.0247766130    0.0201288270    0.0009940919    
0.0250182020    0.0191917680    0.0009806535    
0.0252597900    0.0192876460    0.0009595962    
0.0255013790    0.0193176230    0.0009528681    
0.0257429670    0.0199590020    0.0009704399    
0.0259845560    0.0193192310    0.0009438062    
0.0262261450    0.0188425460    0.0009374517    
0.0264677330    0.0173690040    0.0008898410    
0.0267093220    0.0181446740    0.0009027313    
0.0269509100    0.0173493680    0.0008876709    
0.0271924990    0.0181224660    0.0009005126    
0.0274340870    0.0177371090    0.0008958593    
0.0276756760    0.0184303630    0.0008982409    
0.0279172640    0.0188002680    0.0009055770    
0.0281588530    0.0180406660    0.0008761322    
0.0284004410    0.0188392150    0.0009032712    
0.0286420300    0.0180020650    0.0008661247    
0.0288836180    0.0200404570    0.0009234155    
0.0291252070    0.0173934090    0.0008427134    
0.0293667950    0.0180641410    0.0008691114    
0.0296083840    0.0187816160    0.0008756974    
0.0298499720    0.0184156720    0.0008700587    
0.0300915610    0.0175158980    0.0008456755    
0.0303331490    0.0192737340    0.0008797216    
0.0305747380    0.0172898860    0.0008223960    
0.0308163270    0.0183069390    0.0008462385    
0.0310579150    0.0181698370    0.0008471730    
0.0312995040    0.0187725860    0.0008541822    
0.0315410920    0.0168999540    0.0008065908    
0.0317826810    0.0185529960    0.0008424481    
0.0320242690    0.0169694390    0.0007981753    
0.0322658580    0.0171854900    0.0008146704    
0.0325074460    0.0186186740    0.0008334863    
0.0327490350    0.0183935470    0.0008258946    
0.0329906230    0.0176812950    0.0008012159    
0.0332322120    0.0193287320    0.0008427728    
0.0334738000    0.0169912560    0.0007796123    
0.0337153890    0.0175476010    0.0007911069    
0.0339569770    0.0174920510    0.0007910179    
0.0341985660    0.0171132800    0.0007835632    
0.0344401540    0.0172285610    0.0007759354    
0.0346817430    0.0193808890    0.0008301861    
0.0349233310    0.0175198150    0.0007858711    
0.0351649200    0.0188519520    0.0008002208    
0.0354065090    0.0181037060    0.0007886098    
0.0356480970    0.0171372960    0.0007566301    
0.0358896860    0.0187873660    0.0008010960    
0.0361312740    0.0181729750    0.0007770203    
0.0363728630    0.0180408980    0.0007720792    
0.0366144510    0.0177361060    0.0007718650    
0.0368560400    0.0186133580    0.0007789448    
0.0370976280    0.0171372960    0.0007566301    
0.0373392170    0.0186484230    0.0007817826    
0.0375808050    0.0174838180    0.0007489245    
0.0378223940    0.0183820690    0.0007679219    
0.0380639820    0.0190788550    0.0007854640    
0.0383055710    0.0189980130    0.0007685773    
0.0385471590    0.0175785670    0.0007421677    
0.0387887480    0.0173369500    0.0007399230    
0.0390303360    0.0174027600    0.0007327884    
0.0392719250    0.0184050300    0.0007526377    
0.0395135140    0.0185281410    0.0007551506    
0.0397551020    0.0170537370    0.0007386794    
0.0399966910    0.0186194950    0.0007429987    
0.0402382790    0.0184754440    0.0007456083    
0.0404798680    0.0186787930    0.0007441809    
0.0407214560    0.0172974950    0.0007232446    
0.0409630450    0.0171644080    0.0007090552    
0.0412046330    0.0179375710    0.0007292660    
0.0414462220    0.0181021370    0.0007264137    
0.0416878100    0.0169246030    0.0007015474    
0.0419293990    0.0175223450    0.0007129741    
0.0421709870    0.0186360450    0.0007326585    
0.0424125760    0.0183495270    0.0007304831    
0.0426541640    0.0181613860    0.0007156588    
0.0428957530    0.0185711860    0.0007245310    
0.0431373410    0.0183305910    0.0007189849    
0.0433789300    0.0171883250    0.0006914158    
0.0436205180    0.0171375250    0.0006888153    
0.0438621070    0.0167989450    0.0006835394    
0.0441036960    0.0163623220    0.0006730560    
0.0443452840    0.0178489580    0.0006974165    
0.0445868730    0.0175777040    0.0006992035    
0.0448284610    0.0175249410    0.0006895096    
0.0450700500    0.0173192710    0.0007088306    
0.0453116380    0.0178689370    0.0007217196    
0.0455532270    0.0188221340    0.0007620859    
0.0457948150    0.0169892580    0.0007231109    
0.0460364040    0.0167975260    0.0007208508    
0.0462779920    0.0177747360    0.0007531398    
0.0465195810    0.0182534100    0.0007632134    
0.0467611690    0.0192992960    0.0007878905    
0.0470027580    0.0191706340    0.0007852598    
0.0472443460    0.0175531180    0.0007668115    
0.0474859350    0.0179117580    0.0007651524    
0.0477275230    0.0184719820    0.0007833865    
0.0479691120    0.0180563290    0.0007755858    
0.0482107000    0.0169497730    0.0007587761    
0.0484522890    0.0181056090    0.0007798638    
0.0486938780    0.0188027190    0.0008002969    
0.0489354660    0.0183608630    0.0007930685    
0.0491770550    0.0171381650    0.0007750146    
0.0494186430    0.0181222180    0.0007813043    
0.0496602320    0.0193194730    0.0007841532    
0.0499018200    0.0182823900    0.0007520371    
0.0501434090    0.0169470060    0.0007123358    
0.0503849970    0.0171766070    0.0007101653    
0.0506265860    0.0180304100    0.0007223731    
0.0508681740    0.0181752530    0.0007218315    
0.0511097630    0.0177210020    0.0007094078    
0.0513513510    0.0174094460    0.0006903294    
0.0515929400    0.0197866520    0.0007478651    
0.0518345280    0.0157670460    0.0006569602    
0.0520761170    0.0187076890    0.0007238222    
0.0523177050    0.0172932880    0.0006751895    
0.0525592940    0.0177379260    0.0006968115    
0.0528008830    0.0183064360    0.0006894603    
0.0530424710    0.0176407630    0.0006789933    
0.0532840600    0.0175819740    0.0006742379    
0.0535256480    0.0175044070    0.0006727490    
0.0537672370    0.0175413200    0.0006677866    
0.0540088250    0.0176917660    0.0006720546    
0.0542504140    0.0189748410    0.0006989473    
0.0544920020    0.0179744000    0.0006745672    
0.0547335910    0.0184640520    0.0006787521    
0.0549751790    0.0176946320    0.0006617417    
0.0552167680    0.0172844470    0.0006546951    
0.0554583560    0.0166374080    0.0006352192    
0.0556999450    0.0190695330    0.0006780345    
0.0559415330    0.0184829670    0.0006722190    
0.0561831220    0.0174706300    0.0006470604    
0.0564247100    0.0188685690    0.0006704654    
0.0566662990    0.0176104510    0.0006451970    
0.0569078870    0.0178882350    0.0006566978    
0.0571494760    0.0178468330    0.0006495128    
0.0573910650    0.0176508900    0.0006360939    
0.0576326530    0.0177822700    0.0006433400    
0.0578742420    0.0181084350    0.0006479707    
0.0581158300    0.0174501720    0.0006300892    
0.0583574190    0.0172716070    0.0006256843    
0.0585990070    0.0174445810    0.0006323656    
0.0588405960    0.0176757560    0.0006353419    
0.0590821840    0.0177300840    0.0006304092    
0.0593237730    0.0177838710    0.0006331226    
0.0595653610    0.0178716660    0.0006370561    
0.0598069500    0.0172768470    0.0006127466    
0.0600485380    0.0172888940    0.0006162825    
0.0602901270    0.0172982640    0.0006170086    
0.0605317150    0.0177868250    0.0006222822    
0.0607733040    0.0186858620    0.0006349714    
0.0610148920    0.0181459660    0.0006290982    
0.0612564810    0.0184597820    0.0006316807    
0.0614980690    0.0176383870    0.0006115010    
0.0617396580    0.0174912660    0.0006227056    
0.0619812470    0.0178576600    0.0006286194    
