# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00146.dat
q(1/A)          Column          Error           
0.0040000000    0.8706355600    0.0217251920    
0.0042415885    0.8651310100    0.0203687140    
0.0044831771    0.6890995500    0.0169234810    
0.0047247656    0.5801808800    0.0150354370    
0.0049663541    0.4353629600    0.0122795890    
0.0052079426    0.3535223000    0.0113861870    
0.0054495312    0.2715043900    0.0091995754    
0.0056911197    0.2701536200    0.0086518402    
0.0059327082    0.2091958800    0.0076134177    
0.0061742967    0.1735429600    0.0066453032    
0.0064158853    0.1531147600    0.0061792089    
0.0066574738    0.1340377600    0.0054629712    
0.0068990623    0.1221925600    0.0052632062    
0.0071406509    0.1017177600    0.0047170482    
0.0073822394    0.0874848050    0.0042287377    
0.0076238279    0.0874752240    0.0041282111    
0.0078654164    0.0760184140    0.0039099653    
0.0081070050    0.0692099250    0.0035364620    
0.0083485935    0.0652075590    0.0033146865    
0.0085901820    0.0597810970    0.0031954340    
0.0088317705    0.0505222360    0.0028602584    
0.0090733591    0.0517927660    0.0028773759    
0.0093149476    0.0473511020    0.0026511528    
0.0095565361    0.0439370730    0.0025537905    
0.0097981247    0.0371090140    0.0023469801    
0.0100397130    0.0446099830    0.0024860172    
0.0102813020    0.0368259500    0.0023106656    
0.0105228900    0.0380420410    0.0022000280    
0.0107644790    0.0377955310    0.0022156133    
0.0110060670    0.0356775620    0.0020986801    
0.0112476560    0.0364279550    0.0021102148    
0.0114892440    0.0340809190    0.0020117330    
0.0117308330    0.0310539430    0.0019112381    
0.0119724210    0.0321438960    0.0019175441    
0.0122140100    0.0284194870    0.0017867179    
0.0124555980    0.0271562510    0.0016939604    
0.0126971870    0.0243756080    0.0016547241    
0.0129387760    0.0304676980    0.0017503235    
0.0131803640    0.0287817510    0.0017293278    
0.0134219530    0.0275469710    0.0016317417    
0.0136635410    0.0277621810    0.0016444897    
0.0139051300    0.0243527910    0.0015402057    
0.0141467180    0.0236345650    0.0014829645    
0.0143883070    0.0275574770    0.0015779365    
0.0146298950    0.0243047910    0.0014818893    
0.0148714840    0.0238370840    0.0014783132    
0.0151130720    0.0230535080    0.0014380383    
0.0153546610    0.0237735190    0.0014057576    
0.0155962490    0.0234953070    0.0014116962    
0.0158378380    0.0237227810    0.0013858996    
0.0160794260    0.0237227810    0.0013858996    
0.0163210150    0.0227688000    0.0013279034    
0.0165626030    0.0236501730    0.0013793061    
0.0168041920    0.0224733970    0.0012953451    
0.0170457800    0.0229725040    0.0013175635    
0.0172873690    0.0219507600    0.0012801943    
0.0175289580    0.0242732480    0.0013382275    
0.0177705460    0.0243672630    0.0013176307    
0.0180121350    0.0243103430    0.0013013028    
0.0182537230    0.0225525470    0.0012396001    
0.0184953120    0.0222266860    0.0012272634    
0.0187369000    0.0195161150    0.0011499981    
0.0189784890    0.0204382680    0.0011461211    
0.0192200770    0.0206262950    0.0011696099    
0.0194616660    0.0195215910    0.0011087518    
0.0197032540    0.0202055730    0.0011366523    
0.0199448430    0.0208449900    0.0011544972    
0.0201864310    0.0202772650    0.0011300078    
0.0204280200    0.0211240360    0.0011307437    
0.0206696080    0.0202321150    0.0010908425    
0.0209111970    0.0213133700    0.0011441617    
0.0211527850    0.0214737500    0.0011133621    
0.0213943740    0.0189639140    0.0010487069    
0.0216359620    0.0199615140    0.0010809766    
0.0218775510    0.0183839780    0.0010325471    
0.0221191400    0.0186749870    0.0010218498    
0.0223607280    0.0203029000    0.0010583618    
0.0226023170    0.0218932730    0.0011320742    
0.0228439050    0.0185691600    0.0009968447    
0.0230854940    0.0181168110    0.0009825220    
0.0233270820    0.0195253420    0.0010178288    
0.0235686710    0.0206377300    0.0010531648    
0.0238102590    0.0195273150    0.0010030508    
0.0240518480    0.0163364480    0.0009118116    
0.0242934360    0.0201174510    0.0010266144    
0.0245350250    0.0190095490    0.0009855992    
0.0247766130    0.0191825060    0.0009840418    
0.0250182020    0.0186514200    0.0009802969    
