# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00507.dat
q(1/A)          Column          Error           
0.0040000000    0.8580805100    0.0213720170    
0.0042415885    0.8626665400    0.0201548800    
0.0044831771    0.6464348400    0.0162422870    
0.0047247656    0.5268352100    0.0141973680    
0.0049663541    0.4342894000    0.0121530080    
0.0052079426    0.3532489900    0.0112783720    
0.0054495312    0.2883246300    0.0093941241    
0.0056911197    0.2671713000    0.0085257789    
0.0059327082    0.2181989700    0.0077048733    
0.0061742967    0.1599096700    0.0063209847    
0.0064158853    0.1452029800    0.0059627716    
0.0066574738    0.1272406200    0.0052742936    
0.0068990623    0.1133041800    0.0050221194    
0.0071406509    0.1015961200    0.0046713945    
0.0073822394    0.0901171270    0.0042528902    
0.0076238279    0.0788148540    0.0038829292    
0.0078654164    0.0746433190    0.0038392381    
0.0081070050    0.0693774770    0.0035085698    
0.0083485935    0.0615463150    0.0031910278    
0.0085901820    0.0657436850    0.0033205575    
0.0088317705    0.0580353990    0.0030377116    
0.0090733591    0.0557217290    0.0029574023    
0.0093149476    0.0515958550    0.0027422887    
0.0095565361    0.0482435820    0.0026517071    
0.0097981247    0.0497010920    0.0026914650    
0.0100397130    0.0404021780    0.0023443721    
0.0102813020    0.0395764810    0.0023736396    
0.0105228900    0.0349802400    0.0020904692    
0.0107644790    0.0359640600    0.0021416286    
0.0110060670    0.0378202200    0.0021411483    
0.0112476560    0.0351688590    0.0020545867    
0.0114892440    0.0326482240    0.0019511046    
0.0117308330    0.0375377580    0.0020822202    
0.0119724210    0.0296529740    0.0018250144    
0.0122140100    0.0316555420    0.0018685676    
0.0124555980    0.0306077100    0.0017820498    
0.0126971870    0.0305525610    0.0018357255    
0.0129387760    0.0288304880    0.0016871767    
0.0131803640    0.0286692220    0.0017102624    
0.0134219530    0.0279028430    0.0016273268    
0.0136635410    0.0289816760    0.0016649538    
0.0139051300    0.0283121320    0.0016456092    
0.0141467180    0.0272271570    0.0015772269    
