# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00400.dat
q(1/A)          Column          Error           
0.0040000000    0.7970956200    0.0207125180    
0.0042415885    0.9241349400    0.0209759970    
0.0044831771    0.7002349600    0.0169981970    
0.0047247656    0.6015387600    0.0152545160    
0.0049663541    0.4724626000    0.0127460040    
0.0052079426    0.3713679800    0.0116279830    
0.0054495312    0.2986417500    0.0096136181    
0.0056911197    0.2794887900    0.0087683432    
0.0059327082    0.2316235900    0.0079822759    
0.0061742967    0.1919997700    0.0069645637    
0.0064158853    0.1762760000    0.0066062225    
0.0066574738    0.1545156100    0.0058443170    
0.0068990623    0.1413449000    0.0056402757    
0.0071406509    0.1276984600    0.0052661959    
0.0073822394    0.1296743900    0.0051298397    
0.0076238279    0.1061880300    0.0045319948    
0.0078654164    0.0904460730    0.0042495272    
0.0081070050    0.0888053870    0.0039915053    
0.0083485935    0.0940129750    0.0039656980    
0.0085901820    0.0829218920    0.0037498576    
0.0088317705    0.0797396180    0.0035804146    
0.0090733591    0.0828436260    0.0036259670    
0.0093149476    0.0714735990    0.0032454490    
0.0095565361    0.0694104440    0.0031982644    
0.0097981247    0.0673472890    0.0031503733    
0.0100397130    0.0701472850    0.0031061740    
0.0102813020    0.0597355470    0.0029323027    
0.0105228900    0.0592420350    0.0027355430    
0.0107644790    0.0606051910    0.0027955090    
0.0110060670    0.0576049340    0.0026571175    
0.0112476560    0.0588606110    0.0026727227    
0.0114892440    0.0597725610    0.0026545926    
0.0117308330    0.0530192020    0.0024883145    
0.0119724210    0.0547398680    0.0024933326    
0.0122140100    0.0526383440    0.0024228762    
0.0124555980    0.0521383860    0.0023387262    
0.0126971870    0.0507424720    0.0023788438    
0.0129387760    0.0523109740    0.0022852155    
0.0131803640    0.0509599400    0.0022927961    
0.0134219530    0.0503793770    0.0021987363    
0.0136635410    0.0509663870    0.0022201307    
0.0139051300    0.0481617850    0.0021581812    
0.0141467180    0.0464671880    0.0020718695    
0.0143883070    0.0461967420    0.0020356717    
0.0146298950    0.0473628730    0.0020612045    
0.0148714840    0.0446005660    0.0020148482    
0.0151130720    0.0440832500    0.0019813947    
0.0153546610    0.0470399440    0.0019702864    
0.0155962490    0.0479999430    0.0020104964    
0.0158378380    0.0461396580    0.0019258321    
0.0160794260    0.0430047340    0.0018592568    
0.0163210150    0.0429802690    0.0018178717    
0.0165626030    0.0456822550    0.0019100710    
0.0168041920    0.0440304550    0.0018065915    
0.0170457800    0.0444141100    0.0018254087    
