# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00399.dat
q(1/A)          Column          Error           
0.0040000000    0.8017213900    0.0207697050    
0.0042415885    0.8881847800    0.0205611550    
0.0044831771    0.7219079600    0.0172569010    
0.0047247656    0.5824250300    0.0150081630    
0.0049663541    0.4599585000    0.0125744960    
0.0052079426    0.3818225800    0.0117889160    
0.0054495312    0.3146487400    0.0098665546    
0.0056911197    0.2871131100    0.0088859276    
0.0059327082    0.2398109500    0.0081210235    
0.0061742967    0.1975039200    0.0070627256    
0.0064158853    0.1633574600    0.0063586804    
0.0066574738    0.1535896000    0.0058259857    
0.0068990623    0.1397313800    0.0056072271    
0.0071406509    0.1300519900    0.0053137803    
0.0073822394    0.1144232600    0.0048180883    
0.0076238279    0.1104132400    0.0046206505    
0.0078654164    0.0980064910    0.0044229710    
0.0081070050    0.0966728920    0.0041639962    
0.0083485935    0.0983355710    0.0040552906    
0.0085901820    0.0851032010    0.0037983417    
0.0088317705    0.0851824610    0.0037000896    
0.0090733591    0.0729841020    0.0034029013    
0.0093149476    0.0732220930    0.0032844598    
0.0095565361    0.0696862170    0.0032041757    
0.0097981247    0.0662976700    0.0031253021    
0.0100397130    0.0646279510    0.0029810651    
0.0102813020    0.0656192750    0.0030729041    
0.0105228900    0.0606150120    0.0027666841    
0.0107644790    0.0571080760    0.0027132866    
0.0110060670    0.0588145670    0.0026845054    
0.0112476560    0.0535061190    0.0025479104    
0.0114892440    0.0540988990    0.0025251203    
0.0117308330    0.0523042750    0.0024711447    
0.0119724210    0.0580175570    0.0025665456    
0.0122140100    0.0510631420    0.0023860239    
0.0124555980    0.0500266490    0.0022905629    
0.0126971870    0.0481643610    0.0023173089    
0.0129387760    0.0548916190    0.0023405865    
0.0131803640    0.0506366870    0.0022852017    
0.0134219530    0.0521884290    0.0022375604    
0.0136635410    0.0467951050    0.0021270502    
0.0139051300    0.0523060990    0.0022488148    
0.0141467180    0.0472857410    0.0020897543    
0.0143883070    0.0477983780    0.0020703776    
0.0146298950    0.0459151400    0.0020291817    
0.0148714840    0.0466813590    0.0020610324    
0.0151130720    0.0494132270    0.0020974747    
0.0153546610    0.0486772220    0.0020040095    
0.0155962490    0.0447035720    0.0019399698    
0.0158378380    0.0457253020    0.0019169044    
0.0160794260    0.0503058680    0.0020106269    
0.0163210150    0.0461201180    0.0018828459    
0.0165626030    0.0441528220    0.0018775690    
0.0168041920    0.0445372130    0.0018167108    
0.0170457800    0.0419269140    0.0017733195    
0.0172873690    0.0420176370    0.0017645749    
0.0175289580    0.0444495150    0.0018041501    
0.0177705460    0.0426426610    0.0017365434    
0.0180121350    0.0430724970    0.0017256632    
0.0182537230    0.0421986480    0.0016892979    
0.0184953120    0.0427091510    0.0016948610    
0.0187369000    0.0424401170    0.0016895144    
0.0189784890    0.0410817730    0.0016188486    
0.0192200770    0.0429195130    0.0016808578    
0.0194616660    0.0407518610    0.0015959660    
0.0197032540    0.0399191300    0.0015916800    
0.0199448430    0.0404903100    0.0016030267    
0.0201864310    0.0406268550    0.0015935164    
0.0204280200    0.0392894150    0.0015363377    
0.0206696080    0.0402205860    0.0015322823    
0.0209111970    0.0398700470    0.0015590422    
0.0211527850    0.0398768210    0.0015115270    
0.0213943740    0.0402925370    0.0015229148    
0.0216359620    0.0404384660    0.0015328161    
0.0218775510    0.0382203500    0.0014832372    
0.0221191400    0.0400679730    0.0014911755    
0.0223607280    0.0375647680    0.0014342295    
0.0226023170    0.0377658090    0.0014812969    
0.0228439050    0.0380827470    0.0014222263    
0.0230854940    0.0399297080    0.0014531909    
0.0233270820    0.0394438220    0.0014412459    
0.0235686710    0.0385136120    0.0014333282    
0.0238102590    0.0372801110    0.0013807449    
0.0240518480    0.0376318200    0.0013787232    
0.0242934360    0.0392066220    0.0014278210    
0.0245350250    0.0376846100    0.0013825143    
0.0247766130    0.0379784550    0.0013794396    
0.0250182020    0.0377403600    0.0013892418    
0.0252597900    0.0395141070    0.0013875280    
0.0255013790    0.0390933550    0.0013693805    
0.0257429670    0.0350560750    0.0012992646    
0.0259845560    0.0355268120    0.0012929531    
0.0262261450    0.0355559500    0.0013009242    
0.0264677330    0.0371732200    0.0013150940    
0.0267093220    0.0374017080    0.0013093217    
0.0269509100    0.0362923870    0.0012969841    
0.0271924990    0.0366700320    0.0012940573    
0.0274340870    0.0362955000    0.0012946176    
0.0276756760    0.0349375160    0.0012493630    
0.0279172640    0.0349899070    0.0012480486    
0.0281588530    0.0365187730    0.0012592680    
0.0284004410    0.0334582240    0.0012160598    
0.0286420300    0.0361485580    0.0012398853    
0.0288836180    0.0359976960    0.0012502517    
0.0291252070    0.0346682500    0.0012019053    
0.0293667950    0.0361025100    0.0012412299    
0.0296083840    0.0331265120    0.0011748763    
