# Diamond Light Source Ltd.
# Data extracted from: /dls/b21/data/2017/mx13440-2/processed/b21-369037_00037.dat
q(1/A)          Column          Error           
0.0040000000    0.8106309400    0.0210927370    
0.0042415885    0.8826551300    0.0207011330    
0.0044831771    0.6883868500    0.0170192690    
0.0047247656    0.5641006200    0.0149172430    
0.0049663541    0.4326963000    0.0123175860    
0.0052079426    0.3460250300    0.0113344270    
0.0054495312    0.2799201400    0.0093987985    
0.0056911197    0.2650878400    0.0086233082    
0.0059327082    0.2016911700    0.0075218116    
0.0061742967    0.1720881200    0.0066582894    
0.0064158853    0.1532460200    0.0062200641    
0.0066574738    0.1248798200    0.0053056350    
0.0068990623    0.1085597800    0.0049915842    
0.0071406509    0.1007643900    0.0047239072    
0.0073822394    0.0927083170    0.0043800563    
0.0076238279    0.0808675710    0.0039937647    
0.0078654164    0.0655593590    0.0036534803    
0.0081070050    0.0704339680    0.0035896474    
0.0083485935    0.0639690740    0.0033033488    
0.0085901820    0.0593118920    0.0032025411    
0.0088317705    0.0537716840    0.0029690446    
0.0090733591    0.0550243390    0.0029841138    
0.0093149476    0.0486896040    0.0027049780    
0.0095565361    0.0491404340    0.0027174722    
0.0097981247    0.0419271590    0.0025101134    
0.0100397130    0.0416566610    0.0024171646    
0.0102813020    0.0355211840    0.0022833882    
0.0105228900    0.0358087560    0.0021476665    
0.0107644790    0.0381326760    0.0022392278    
0.0110060670    0.0362449200    0.0021283750    
0.0112476560    0.0327956480    0.0020146207    
0.0114892440    0.0369079220    0.0021064464    
0.0117308330    0.0288190740    0.0018525602    
0.0119724210    0.0311527440    0.0018994163    
0.0122140100    0.0319561060    0.0019063415    
0.0124555980    0.0292045930    0.0017675424    
0.0126971870    0.0287718680    0.0018088718    
0.0129387760    0.0314562760    0.0017894850    
0.0131803640    0.0273503330    0.0016961957    
0.0134219530    0.0297477680    0.0017061515    
0.0136635410    0.0282050310    0.0016677984    
0.0139051300    0.0282050310    0.0016677984    
0.0141467180    0.0265653060    0.0015819410    
0.0143883070    0.0228681710    0.0014463102    
0.0146298950    0.0277162240    0.0015922555    
0.0148714840    0.0280309980    0.0016130027    
0.0151130720    0.0250648320    0.0015087256    
0.0153546610    0.0234792090    0.0014056635    
0.0155962490    0.0240442490    0.0014369187    
0.0158378380    0.0225414830    0.0013593026    
0.0160794260    0.0247546470    0.0014244699    
0.0163210150    0.0239135740    0.0013692872    
0.0165626030    0.0225589350    0.0013554350    
0.0168041920    0.0232811680    0.0013265677    
0.0170457800    0.0218037620    0.0012915434    
0.0172873690    0.0188970520    0.0011951545    
0.0175289580    0.0230056510    0.0013108686    
0.0177705460    0.0239480720    0.0013143212    
0.0180121350    0.0239770860    0.0013003401    
0.0182537230    0.0212456560    0.0012105836    
0.0184953120    0.0203069360    0.0011803167    
0.0187369000    0.0229825120    0.0012556688    
0.0189784890    0.0197156640    0.0011326353    
0.0192200770    0.0197405840    0.0011512942    
0.0194616660    0.0204649350    0.0011422413    
0.0197032540    0.0219450010    0.0011918888    
0.0199448430    0.0200029660    0.0011379290    
0.0201864310    0.0206561960    0.0011475664    
0.0204280200    0.0183833460    0.0010613630    
0.0206696080    0.0210188700    0.0011187216    
0.0209111970    0.0216398240    0.0011600163    
0.0211527850    0.0194023730    0.0010648436    
0.0213943740    0.0200210310    0.0010841996    
0.0216359620    0.0196163820    0.0010782139    
0.0218775510    0.0212539980    0.0011170853    
0.0221191400    0.0208311610    0.0010858993    
0.0223607280    0.0193816860    0.0010404634    
0.0226023170    0.0211572460    0.0011197602    
0.0228439050    0.0180951030    0.0009901200    
0.0230854940    0.0187730100    0.0010063390    
0.0233270820    0.0196062940    0.0010262404    
0.0235686710    0.0199686450    0.0010423548    
0.0238102590    0.0207083580    0.0010393227    
0.0240518480    0.0184453740    0.0009748683    
0.0242934360    0.0193061170    0.0010119155    
0.0245350250    0.0204351480    0.0010282039    
0.0247766130    0.0191648240    0.0009896672    
0.0250182020    0.0191434940    0.0009992823    
0.0252597900    0.0211215470    0.0010245455    
0.0255013790    0.0195219730    0.0009773211    
0.0257429670    0.0194996990    0.0009786618    
0.0259845560    0.0189588450    0.0009539230    
0.0262261450    0.0178181760    0.0009301012    
0.0264677330    0.0203110630    0.0009817723    
0.0267093220    0.0183270610    0.0009256564    
0.0269509100    0.0193367090    0.0009561387    
0.0271924990    0.0196568390    0.0009568799    
0.0274340870    0.0196884720    0.0009629946    
0.0276756760    0.0186842040    0.0009227471    
0.0279172640    0.0195705480    0.0009426801    
0.0281588530    0.0194442040    0.0009280212    
0.0284004410    0.0183938500    0.0009106313    
0.0286420300    0.0191300510    0.0009109548    
0.0288836180    0.0190898680    0.0009195266    
0.0291252070    0.0197636440    0.0009165170    
0.0293667950    0.0178031080    0.0008803070    
0.0296083840    0.0195511320    0.0009115762    
0.0298499720    0.0198548440    0.0009217380    
0.0300915610    0.0191261070    0.0009016133    
0.0303331490    0.0184332610    0.0008777743    
0.0305747380    0.0183647650    0.0008647630    
0.0308163270    0.0190570060    0.0008809104    
0.0310579150    0.0181741630    0.0008644568    
0.0312995040    0.0185302550    0.0008658620    
0.0315410920    0.0193556200    0.0008807112    
0.0317826810    0.0178795920    0.0008437901    
0.0320242690    0.0187980620    0.0008571178    
0.0322658580    0.0182112210    0.0008556378    
0.0325074460    0.0183328150    0.0008438362    
0.0327490350    0.0188383380    0.0008527715    
0.0329906230    0.0192749930    0.0008535110    
0.0332322120    0.0184375670    0.0008398082    
0.0334738000    0.0199588540    0.0008620912    
0.0337153890    0.0201229150    0.0008643532    
0.0339569770    0.0176501810    0.0008106997    
0.0341985660    0.0185987240    0.0008334288    
0.0344401540    0.0176434200    0.0008011465    
0.0346817430    0.0187312460    0.0008327054    
0.0349233310    0.0184578050    0.0008229929    
0.0351649200    0.0176088760    0.0007890726    
0.0354065090    0.0191672850    0.0008279006    
0.0356480970    0.0182219640    0.0007960302    
0.0358896860    0.0184903660    0.0008108562    
0.0361312740    0.0184333750    0.0007984381    
0.0363728630    0.0177137980    0.0007805632    
0.0366144510    0.0194069060    0.0008237773    
0.0368560400    0.0168988410    0.0007572552    
0.0370976280    0.0179785410    0.0007906953    
0.0373392170    0.0175701720    0.0007742343    
0.0375808050    0.0177326340    0.0007695307    
0.0378223940    0.0171315270    0.0007563754    
0.0380639820    0.0181437900    0.0007815084    
0.0383055710    0.0191614170    0.0007875294    
0.0385471590    0.0197666090    0.0008029636    
0.0387887480    0.0178500370    0.0007660184    
0.0390303360    0.0175054980    0.0007498532    
0.0392719250    0.0189028070    0.0007782163    
0.0395135140    0.0186785370    0.0007735860    
0.0397551020    0.0176192320    0.0007660536    
0.0399966910    0.0178391870    0.0007420123    
0.0402382790    0.0186059530    0.0007634115    
0.0404798680    0.0187650960    0.0007610251    
0.0407214560    0.0176599310    0.0007456029    
0.0409630450    0.0186909190    0.0007549191    
0.0412046330    0.0180243680    0.0007458537    
0.0414462220    0.0177817620    0.0007345578    
0.0416878100    0.0177391200    0.0007327963    
0.0419293990    0.0189952440    0.0007573900    
0.0421709870    0.0187099670    0.0007489981    
0.0424125760    0.0187683530    0.0007537552    
0.0426541640    0.0180247990    0.0007274217    
0.0428957530    0.0186553110    0.0007408970    
0.0431373410    0.0192871220    0.0007524623    
0.0433789300    0.0189927510    0.0007415423    
0.0436205180    0.0186754650    0.0007336415    
0.0438621070    0.0177477990    0.0007168269    
0.0441036960    0.0169462550    0.0006988518    
0.0443452840    0.0193461650    0.0007408029    
0.0445868730    0.0185295130    0.0007324433    
0.0448284610    0.0181300090    0.0007155344    
0.0450700500    0.0185422570    0.0007483046    
0.0453116380    0.0165376460    0.0007083949    
0.0455532270    0.0184048630    0.0007688742    
0.0457948150    0.0190950390    0.0007821633    
0.0460364040    0.0195144840    0.0007927217    
0.0462779920    0.0196656650    0.0008082538    
0.0465195810    0.0194663500    0.0008041475    
0.0467611690    0.0171100020    0.0007569019    
0.0470027580    0.0182149540    0.0007809597    
0.0472443460    0.0173307890    0.0007773921    
0.0474859350    0.0193941820    0.0008123329    
0.0477275230    0.0180875330    0.0007909126    
0.0479691120    0.0189695250    0.0008110783    
0.0482107000    0.0192353990    0.0008247109    
0.0484522890    0.0177284710    0.0007873490    
0.0486938780    0.0179420080    0.0007976195    
0.0489354660    0.0191844580    0.0008271007    
0.0491770550    0.0186064960    0.0008239095    
0.0494186430    0.0172166840    0.0007769781    
0.0496602320    0.0186863570    0.0007868376    
0.0499018200    0.0185162180    0.0007721797    
0.0501434090    0.0182023870    0.0007532201    
0.0503849970    0.0186444810    0.0007548930    
0.0506265860    0.0183774960    0.0007440831    
0.0508681740    0.0185618190    0.0007442611    
0.0511097630    0.0183879380    0.0007372891    
0.0513513510    0.0179517730    0.0007152157    
0.0515929400    0.0181256650    0.0007303038    
0.0518345280    0.0185786600    0.0007275965    
0.0520761170    0.0183080570    0.0007305710    
0.0523177050    0.0193190310    0.0007281134    
0.0525592940    0.0169829470    0.0006956486    
0.0528008830    0.0184888430    0.0007069386    
0.0530424710    0.0185811780    0.0007109890    
0.0532840600    0.0176832890    0.0006898908    
0.0535256480    0.0179793560    0.0006956422    
0.0537672370    0.0181277000    0.0006926238    
0.0540088250    0.0182306030    0.0006960476    
0.0542504140    0.0173133910    0.0006811863    
0.0544920020    0.0184736630    0.0006977406    
0.0547335910    0.0185192660    0.0006935520    
0.0549751790    0.0191924630    0.0007031574    
0.0552167680    0.0185605380    0.0006921912    
0.0554583560    0.0183794240    0.0006811868    
0.0556999450    0.0184705720    0.0006808343    
0.0559415330    0.0179931940    0.0006767037    
0.0561831220    0.0182862210    0.0006754170    
0.0564247100    0.0184512450    0.0006764555    
0.0566662990    0.0193162500    0.0006894265    
0.0569078870    0.0190979690    0.0006923008    
0.0571494760    0.0183319820    0.0006716319    
0.0573910650    0.0175627560    0.0006473718    
0.0576326530    0.0186562140    0.0006723233    
0.0578742420    0.0176918320    0.0006534627    
0.0581158300    0.0183309200    0.0006588913    
0.0583574190    0.0174601700    0.0006418486    
0.0585990070    0.0180638670    0.0006565424    
0.0588405960    0.0174252880    0.0006436177    
0.0590821840    0.0179431870    0.0006470479    
0.0593237730    0.0171985650    0.0006352435    
0.0595653610    0.0192421530    0.0006744371    
0.0598069500    0.0182788000    0.0006430459    
0.0600485380    0.0194836820    0.0006674999    
0.0602901270    0.0175259010    0.0006336503    
0.0605317150    0.0175864040    0.0006313151    
0.0607733040    0.0169582550    0.0006171741    
0.0610148920    0.0195705480    0.0006665755    
0.0612564810    0.0177985300    0.0006328429    
0.0614980690    0.0183831310    0.0006369378    
0.0617396580    0.0180463740    0.0006453370    
0.0619812470    0.0181746880    0.0006470360    
0.0622228350    0.0185368160    0.0006493164    
0.0624644240    0.0181388870    0.0006377293    
0.0627060120    0.0182740630    0.0006452796    
0.0629476010    0.0180925280    0.0006461617    
0.0631891890    0.0188892750    0.0006560516    
0.0634307780    0.0179525370    0.0006367109    
0.0636723660    0.0185741820    0.0006470623    
0.0639139550    0.0173400960    0.0006240837    
0.0641555430    0.0182311120    0.0006331927    
0.0643971320    0.0180267810    0.0006357555    
0.0646387200    0.0174434030    0.0006140368    
0.0648803090    0.0179892030    0.0006289777    
0.0651218970    0.0171481410    0.0006021527    
0.0653634860    0.0188275060    0.0006357597    
0.0656050740    0.0186037800    0.0006303650    
0.0658466630    0.0183110850    0.0006222360    
0.0660882520    0.0168730520    0.0005958082    
0.0663298400    0.0192514820    0.0006374803    
0.0665714290    0.0180361720    0.0006139584    
0.0668130170    0.0184088780    0.0006223337    
0.0670546060    0.0179886240    0.0006116316    
0.0672961940    0.0177797790    0.0006055817    
0.0675377830    0.0181433570    0.0006068046    
0.0677793710    0.0182358400    0.0006122996    
0.0680209600    0.0190050870    0.0006175823    
0.0682625480    0.0183117250    0.0006066945    
0.0685041370    0.0181758540    0.0006025237    
0.0687457250    0.0174877930    0.0005991219    
0.0689873140    0.0189348460    0.0006140044    
0.0692289020    0.0176406660    0.0005926498    
0.0694704910    0.0168574800    0.0005788882    
0.0697120790    0.0186286490    0.0006066323    
0.0699536680    0.0178878960    0.0005972594    
0.0701952560    0.0183375320    0.0006042422    
0.0704368450    0.0190350300    0.0006175779    
0.0706784340    0.0183016420    0.0006114149    
0.0709200220    0.0167373200    0.0005795660    
0.0711616110    0.0181333710    0.0006027737    
0.0714031990    0.0198306880    0.0006354162    
0.0716447880    0.0186675790    0.0006195054    
0.0718863760    0.0179846030    0.0005998201    
0.0721279650    0.0182771820    0.0005990104    
0.0723695530    0.0178473060    0.0005887283    
0.0726111420    0.0190134950    0.0006114328    
0.0728527300    0.0181614110    0.0005889241    
0.0730943190    0.0184895480    0.0005983077    
0.0733359070    0.0183228110    0.0005919831    
0.0735774960    0.0191757470    0.0006079121    
0.0738190840    0.0185669040    0.0005918913    
0.0740606730    0.0176270340    0.0005780132    
0.0743022610    0.0185077440    0.0005927222    
0.0745438500    0.0186620640    0.0005925211    
0.0747854380    0.0181700810    0.0005786533    
0.0750270270    0.0181669640    0.0005833061    
0.0752686160    0.0187430310    0.0005851486    
0.0755102040    0.0183394110    0.0005796533    
0.0757517930    0.0186949310    0.0005873800    
0.0759933810    0.0184520880    0.0005743884    
0.0762349700    0.0180725030    0.0005758378    
0.0764765580    0.0181515210    0.0005717192    
0.0767181470    0.0182255750    0.0005720687    
0.0769597350    0.0193591560    0.0005850317    
0.0772013240    0.0180105510    0.0005631047    
0.0774429120    0.0186210090    0.0005697936    
0.0776845010    0.0184679590    0.0005651104    
0.0779260890    0.0186109490    0.0005708236    
0.0781676780    0.0177001520    0.0005528599    
0.0784092660    0.0181892430    0.0005615997    
0.0786508550    0.0187130870    0.0005649918    
0.0788924430    0.0183262880    0.0005644873    
0.0791340320    0.0190377530    0.0005714184    
0.0793756210    0.0189693360    0.0005719470    
0.0796172090    0.0183687440    0.0005571404    
0.0798587980    0.0193051040    0.0005765930    
0.0801003860    0.0165615410    0.0005336882    
0.0803419750    0.0183245840    0.0005535143    
0.0805835630    0.0191642050    0.0005706059    
0.0808251520    0.0189772060    0.0005670525    
0.0810667400    0.0183841680    0.0005581220    
0.0813083290    0.0177850240    0.0005424381    
0.0815499170    0.0180745580    0.0005548940    
0.0817915060    0.0181028220    0.0005516180    
0.0820330940    0.0183176740    0.0005490637    
0.0822746830    0.0184467920    0.0005524378    
0.0825162710    0.0179840050    0.0005429791    
0.0827578600    0.0193391190    0.0005649017    
0.0829994480    0.0184926310    0.0005453179    
0.0832410370    0.0193545230    0.0005643894    
0.0834826250    0.0187016780    0.0005483915    
0.0837242140    0.0183100920    0.0005415860    
0.0839658030    0.0187255320    0.0005490910    
0.0842073910    0.0195028110    0.0005585928    
0.0844489800    0.0190059410    0.0005479697    
0.0846905680    0.0193161890    0.0005483219    
0.0849321570    0.0188313770    0.0005475070    
0.0851737450    0.0171415090    0.0005158988    
0.0854153340    0.0194143090    0.0005524442    
0.0856569220    0.0186402010    0.0005376484    
0.0858985110    0.0193862410    0.0005541188    
0.0861400990    0.0186867240    0.0005383189    
0.0863816880    0.0196066270    0.0005534533    
0.0866232760    0.0188951500    0.0005477430    
0.0868648650    0.0184088780    0.0005336467    
0.0871064530    0.0179775970    0.0005289817    
0.0873480420    0.0187969710    0.0005366184    
0.0875896300    0.0189502400    0.0005401143    
0.0878312190    0.0179980860    0.0005257297    
0.0880728080    0.0192782830    0.0005424587    
0.0883143960    0.0187976370    0.0005353302    
0.0885559850    0.0176909510    0.0005212246    
0.0887975730    0.0172314700    0.0005119262    
0.0890391620    0.0186379180    0.0005327294    
0.0892807500    0.0191238170    0.0005376867    
0.0895223390    0.0181148630    0.0005220617    
0.0897639270    0.0187417850    0.0005275714    
0.0900055160    0.0177411600    0.0005145068    
0.0902471040    0.0185060470    0.0005276684    
0.0904886930    0.0196739110    0.0005392643    
0.0907302810    0.0187968480    0.0005225380    
0.0909718700    0.0193335540    0.0005393369    
0.0912134580    0.0188402080    0.0005237434    
0.0914550470    0.0183148890    0.0005230691    
0.0916966350    0.0179375090    0.0005110422    
0.0919382240    0.0187515820    0.0005243275    
0.0921798120    0.0184860840    0.0005173083    
0.0924214010    0.0194125600    0.0005301130    
0.0926629900    0.0187058530    0.0005174158    
0.0929045780    0.0189056260    0.0005255620    
0.0931461670    0.0195774310    0.0005287337    
0.0933877550    0.0179820140    0.0005075940    
0.0936293440    0.0185159970    0.0005171340    
0.0938709320    0.0190642410    0.0005235375    
